
Integration time [ms]: 130,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  200,134;  206,883;  192,948; 0,00000
 176,32;  232,925;  243,267;  207,323; 0,00000
 176,92;  259,732;  268,037;  240,090; 0,00000
 177,52;  261,135;  265,575;  239,099; 0,00000
 178,12;  243,081;  242,959;  209,348; 0,00000
 178,72;  281,827;  273,420;  241,854; 0,00000
 179,32;  256,611;  262,036;  239,202; 0,00000
 179,92;  253,169;  244,113;  234,033; 0,00000
 180,52;  236,208;  249,115;  241,318; 0,00000
 181,12;  264,465;  270,729;  232,456; 0,00000
 181,73;  284,951;  286,344;  262,561; 0,00000
 182,33;  381,186;  376,191;  321,769; 0,00000
 182,93;  277,491;  272,883;  250,076; 0,00000
 183,53;  247,059;  243,420;  216,568; 0,00000
 184,13;  241,267;  251,882;  217,799; 0,00000
 184,73;  287,342;  293,804;  252,053; 0,00000
 185,33;  258,536;  241,488;  314,214;23,44201
 185,93;  267,456;  246,948;  344,643;20,99182
 186,53;  273,700;  257,872;  356,123;16,10976
 187,13;  303,355;  286,488;  389,171;16,42628
 187,73;  271,585;  259,102;  351,695;13,48192
 188,33;  274,390;  243,025;  336,731;33,47228
 188,93;  273,158;  269,253;  347,227; 5,00792
 189,53;  269,545;  254,252;  358,725;14,63826
 190,13;  320,603;  299,942;  388,439;23,34689
 190,73;  251,507;  235,328;  327,192;17,61171
 191,34;  289,559;  262,638;  357,002;28,52883
 191,94;  268,746;  248,486;  335,061;23,40261
 192,54;  280,752;  260,489;  366,038;19,19762
 193,14;  287,052;  271,642;  366,396;16,26319
 193,74;  284,775;  261,411;  354,594;25,07282
 194,34;  274,946;  270,412;  354,530; 5,39057
 194,94;  250,485;  238,411;  322,296;14,39343
 195,54;  233,915;  202,642;  301,272;31,70778
 196,14;  256,518;  242,335;  335,114;15,28706
 196,74;  247,867;  231,718;  329,599;16,49858
 197,34;  224,639;  206,643;  330,897;14,48295
 197,94;  258,859;  235,258;  353,820;19,90657
 198,54;  268,511;  253,027;  363,993;13,95367
 199,14;  238,941;  217,259;  354,060;15,84959
