
Integration time [ms]: 130,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  212,105;  211,381;  192,948; 0,00000
 176,32;  233,497;  234,842;  207,323; 0,00000
 176,92;  271,344;  270,150;  240,090; 0,00000
 177,52;  269,151;  273,381;  239,099; 0,00000
 178,12;  247,351;  246,611;  209,348; 0,00000
 178,72;  268,743;  275,303;  241,854; 0,00000
 179,32;  262,951;  257,996;  239,202; 0,00000
 179,92;  256,728;  260,842;  234,033; 0,00000
 180,52;  252,806;  254,151;  241,318; 0,00000
 181,12;  269,805;  266,996;  232,456; 0,00000
 181,73;  279,459;  281,227;  262,561; 0,00000
 182,33;  376,098;  379,920;  321,769; 0,00000
 182,93;  277,813;  276,535;  250,076; 0,00000
 183,53;  243,643;  245,534;  216,568; 0,00000
 184,13;  244,874;  242,073;  217,799; 0,00000
 184,73;  278,135;  279,073;  252,053; 0,00000
 185,33;  254,887;  249,762;  314,214; 7,95103
 185,93;  258,071;  244,454;  344,643;13,59118
 186,53;  277,379;  261,685;  356,123;16,61813
 187,13;  304,010;  279,224;  389,171;22,54375
 187,73;  263,679;  252,223;  351,695;11,51623
 188,33;  265,186;  246,761;  336,731;20,47877
 188,93;  280,893;  270,607;  347,227;13,42492
 189,53;  260,654;  250,760;  358,725; 9,16409
 190,13;  316,600;  285,606;  388,439;30,13991
 190,73;  243,839;  231,222;  327,192;13,14684
 191,34;  278,001;  263,299;  357,002;15,68968
 191,94;  263,163;  239,146;  335,061;25,03976
 192,54;  275,810;  256,762;  366,038;17,43087
 193,14;  278,617;  264,531;  366,396;13,82833
 193,74;  292,625;  273,916;  354,594;23,18989
 194,34;  280,233;  265,762;  354,530;16,30184
 194,94;  241,433;  232,377;  322,296;10,07067
 195,54;  220,271;  210,839;  301,272;10,43017
 196,14;  243,064;  232,147;  335,114;10,60234
 196,74;  246,194;  223,839;  329,599;21,13775
 197,34;  220,187;  198,301;  330,897;16,50587
 197,94;  245,902;  224,685;  353,820;16,43000
 198,54;  263,518;  246,532;  363,993;14,46106
 199,14;  238,380;  218,993;  354,060;14,35305
