
Integration time [ms]: 130,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  196,848;  180,464;  192,948;131,23339
 176,32;  221,207;  212,078;  207,323; 0,00000
 176,92;  249,017;  234,848;  240,090;270,31825
 177,52;  247,945;  246,002;  239,099; 0,00000
 178,12;  226,666;  225,848;  209,348; 0,00000
 178,72;  250,057;  243,540;  241,854; 0,00000
 179,32;  237,508;  244,232;  239,202; 0,00000
 179,92;  246,410;  235,079;  234,033; 0,00000
 180,52;  230,635;  228,772;  241,318;14,84637
 181,12;  249,853;  235,310;  232,456; 0,00000
 181,73;  264,637;  259,848;  262,561;176,48855
 182,33;  329,966;  299,541;  321,769;136,87663
 182,93;  267,995;  245,079;  250,076;458,61142
 183,53;  233,998;  230,463;  216,568; 0,00000
 184,13;  225,421;  222,309;  217,799; 0,00000
 184,73;  259,063;  244,155;  252,053;188,74493
 185,33;  249,649;  214,380;  314,214;35,32747
 185,93;  264,106;  228,994;  344,643;30,36082
 186,53;  260,540;  230,456;  356,123;23,93938
 187,13;  294,883;  261,149;  389,171;26,34975
 187,73;  252,917;  229,841;  351,695;18,93786
 188,33;  255,610;  231,532;  336,731;22,88804
 188,93;  263,361;  226,070;  347,227;30,77891
 189,53;  270,851;  240,453;  358,725;25,70188
 190,13;  300,925;  271,759;  388,439;24,99606
 190,73;  243,021;  208,914;  327,192;28,83620
 191,34;  273,108;  254,838;  357,002;17,88242
 191,94;  248,166;  218,532;  335,061;25,43043
 192,54;  269,680;  246,073;  366,038;19,67853
 193,14;  278,356;  246,457;  366,396;26,59646
 193,74;  264,170;  241,380;  354,594;20,13048
 194,34;  260,924;  237,226;  354,530;20,20219
 194,94;  226,868;  197,995;  322,296;23,22803
 195,54;  222,024;  188,303;  301,272;29,84979
 196,14;  239,402;  209,611;  335,114;23,73690
 196,74;  230,533;  195,379;  329,599;26,19093
 197,34;  216,626;  183,381;  330,897;22,53660
 197,94;  240,923;  221,072;  353,820;14,95360
 198,54;  249,472;  219,765;  363,993;20,59714
 199,14;  236,516;  204,073;  354,060;21,63045
