
Integration time [ms]: 130,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  200,381;  206,883;  192,948; 0,00000
 176,32;  233,342;  243,267;  207,323; 0,00000
 176,92;  267,286;  268,037;  240,090; 0,00000
 177,52;  263,428;  265,575;  239,099; 0,00000
 178,12;  243,104;  242,959;  209,348; 0,00000
 178,72;  275,379;  273,420;  241,854; 0,00000
 179,32;  264,413;  262,036;  239,202; 0,00000
 179,92;  260,800;  244,113;  234,033; 0,00000
 180,52;  255,326;  249,115;  241,318; 0,00000
 181,12;  257,387;  270,729;  232,456; 0,00000
 181,73;  286,005;  286,344;  262,561; 0,00000
 182,33;  377,486;  376,191;  321,769; 0,00000
 182,93;  283,711;  272,883;  250,076; 0,00000
 183,53;  242,956;  243,420;  216,568; 0,00000
 184,13;  237,129;  251,882;  217,799; 0,00000
 184,73;  285,346;  293,804;  252,053; 0,00000
 185,33;  255,438;  241,488;  314,214;19,18158
 185,93;  260,380;  246,948;  344,643;13,74844
 186,53;  274,222;  257,872;  356,123;16,64100
 187,13;  290,995;  286,488;  389,171; 4,38926
 187,73;  254,484;  259,102;  351,695;-4,98731
 188,33;  267,079;  243,025;  336,731;25,66964
 188,93;  272,699;  269,253;  347,227; 4,41934
 189,53;  274,095;  254,252;  358,725;18,99364
 190,13;  300,467;  299,942;  388,439; 0,59304
 190,73;  247,412;  235,328;  327,192;13,15467
 191,34;  289,113;  262,638;  357,002;28,05687
 191,94;  259,848;  248,486;  335,061;13,12389
 192,54;  279,098;  260,489;  366,038;17,63083
 193,14;  292,095;  271,642;  366,396;21,58506
 193,74;  279,851;  261,411;  354,594;19,78856
 194,34;  275,792;  270,412;  354,530; 6,39645
 194,94;  234,685;  238,411;  322,296;-4,44207
 195,54;  225,962;  202,642;  301,272;23,64418
 196,14;  249,785;  242,335;  335,114; 8,02970
 196,74;  240,880;  231,718;  329,599; 9,35993
 197,34;  220,713;  206,643;  330,897;11,32302
 197,94;  254,725;  235,258;  353,820;16,41962
 198,54;  258,702;  253,027;  363,993; 5,11365
 199,14;  231,413;  217,259;  354,060;10,34608
