
Integration time [ms]: 130,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  218,053;  208,054;  192,948; 0,00000
 176,32;  237,123;  240,435;  207,323; 0,00000
 176,92;  268,287;  254,899;  240,090; 0,00000
 177,52;  261,635;  256,284;  239,099; 0,00000
 178,12;  241,747;  250,743;  209,348; 0,00000
 178,72;  274,443;  287,126;  241,854; 0,00000
 179,32;  253,962;  257,589;  239,202; 0,00000
 179,92;  251,359;  251,667;  234,033; 0,00000
 180,52;  237,299;  243,748;  241,318; 0,00000
 181,12;  265,899;  278,052;  232,456; 0,00000
 181,73;  281,631;  278,821;  262,561; 0,00000
 182,33;  377,969;  377,593;  321,769; 0,00000
 182,93;  276,527;  274,899;  250,076; 0,00000
 183,53;  248,572;  243,280;  216,568; 0,00000
 184,13;  252,189;  243,742;  217,799; 0,00000
 184,73;  282,908;  294,356;  252,053; 0,00000
 185,33;  258,810;  247,874;  314,214;16,48560
 185,93;  263,293;  249,794;  344,643;14,23133
 186,53;  283,760;  260,103;  356,123;24,63682
 187,13;  301,017;  282,722;  389,171;17,18672
 187,73;  268,363;  246,410;  351,695;20,85122
 188,33;  261,250;  235,255;  336,731;25,61704
 188,93;  279,478;  264,789;  347,227;17,81855
 189,53;  281,995;  255,939;  358,725;25,34984
 190,13;  325,688;  289,780;  388,439;36,39627
 190,73;  256,711;  232,476;  327,192;25,58729
 191,34;  290,350;  273,018;  357,002;20,63697
 191,94;  279,221;  249,715;  335,061;34,57215
 192,54;  290,594;  264,339;  366,038;25,81633
 193,14;  288,777;  277,644;  366,396;12,54377
 193,74;  279,475;  268,413;  354,594;12,83588
 194,34;  289,395;  265,645;  354,530;26,71996
 194,94;  251,362;  232,644;  322,296;20,87778
 195,54;  216,965;  207,028;  301,272;10,54389
 196,14;  252,997;  231,723;  335,114;20,57698
 196,74;  239,039;  243,950;  329,599;-5,73387
 197,34;  223,896;  199,032;  330,897;18,85596
 197,94;  259,448;  233,260;  353,820;21,72157
 198,54;  265,451;  245,338;  363,993;16,95106
 199,14;  245,708;  222,340;  354,060;17,74016
