
Integration time [ms]: 130,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  200,597;  206,883;  192,948; 0,00000
 176,32;  232,739;  243,267;  207,323; 0,00000
 176,92;  270,409;  268,037;  240,090; 0,00000
 177,52;  262,250;  265,575;  239,099; 0,00000
 178,12;  254,502;  242,959;  209,348; 0,00000
 178,72;  277,609;  273,420;  241,854; 0,00000
 179,32;  256,809;  262,036;  239,202; 0,00000
 179,92;  260,984;  244,113;  234,033; 0,00000
 180,52;  252,567;  249,115;  241,318; 0,00000
 181,12;  261,036;  270,729;  232,456; 0,00000
 181,73;  281,735;  286,344;  262,561; 0,00000
 182,33;  382,014;  376,191;  321,769; 0,00000
 182,93;  285,301;  272,883;  250,076; 0,00000
 183,53;  242,948;  243,420;  216,568; 0,00000
 184,13;  242,436;  251,882;  217,799; 0,00000
 184,73;  290,332;  293,804;  252,053; 0,00000
 185,33;  258,520;  241,488;  314,214;23,41969
 185,93;  262,734;  246,948;  344,643;16,15852
 186,53;  286,518;  257,872;  356,123;29,15638
 187,13;  304,868;  286,488;  389,171;17,89999
 187,73;  273,844;  259,102;  351,695;15,92089
 188,33;  270,957;  243,025;  336,731;29,80852
 188,93;  286,284;  269,253;  347,227;21,84107
 189,53;  279,170;  254,252;  358,725;23,85098
 190,13;  311,540;  299,942;  388,439;13,10527
 190,73;  260,077;  235,328;  327,192;26,94130
 191,34;  291,987;  262,638;  357,002;31,10240
 191,94;  270,859;  248,486;  335,061;25,84238
 192,54;  273,153;  260,489;  366,038;11,99848
 193,14;  286,349;  271,642;  366,396;15,52104
 193,74;  293,790;  261,411;  354,594;34,74805
 194,34;  285,286;  270,412;  354,530;17,68232
 194,94;  250,015;  238,411;  322,296;13,83347
 195,54;  241,969;  202,642;  301,272;39,87351
 196,14;  260,594;  242,335;  335,114;19,68041
 196,74;  246,494;  231,718;  329,599;15,09528
 197,34;  226,930;  206,643;  330,897;16,32681
 197,94;  255,676;  235,258;  353,820;17,22178
 198,54;  266,357;  253,027;  363,993;12,01255
 199,14;  241,720;  217,259;  354,060;17,88056
