
Integration time [ms]: 130,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  209,372;  206,883;  192,948; 0,00000
 176,32;  243,167;  243,267;  207,323; 0,00000
 176,92;  265,515;  268,037;  240,090; 0,00000
 177,52;  266,605;  265,575;  239,099; 0,00000
 178,12;  249,676;  242,959;  209,348; 0,00000
 178,72;  278,010;  273,420;  241,854; 0,00000
 179,32;  256,002;  262,036;  239,202; 0,00000
 179,92;  254,724;  244,113;  234,033; 0,00000
 180,52;  258,086;  249,115;  241,318; 0,00000
 181,12;  263,105;  270,729;  232,456; 0,00000
 181,73;  285,542;  286,344;  262,561; 0,00000
 182,33;  376,393;  376,191;  321,769; 0,00000
 182,93;  274,944;  272,883;  250,076; 0,00000
 183,53;  242,752;  243,420;  216,568; 0,00000
 184,13;  249,207;  251,882;  217,799; 0,00000
 184,73;  287,190;  293,804;  252,053; 0,00000
 185,33;  261,935;  241,488;  314,214;28,11541
 185,93;  269,827;  246,948;  344,643;23,41806
 186,53;  288,306;  257,872;  356,123;30,97633
 187,13;  308,058;  286,488;  389,171;21,00644
 187,73;  265,002;  259,102;  351,695; 6,37179
 188,33;  272,400;  243,025;  336,731;31,34802
 188,93;  285,298;  269,253;  347,227;20,57632
 189,53;  271,722;  254,252;  358,725;16,72205
 190,13;  313,532;  299,942;  388,439;15,35681
 190,73;  255,602;  235,328;  327,192;22,07003
 191,34;  281,325;  262,638;  357,002;19,80323
 191,94;  276,003;  248,486;  335,061;31,78422
 192,54;  276,844;  260,489;  366,038;15,49471
 193,14;  305,051;  271,642;  366,396;35,25818
 193,74;  285,608;  261,411;  354,594;25,96661
 194,34;  280,234;  270,412;  354,530;11,67656
 194,94;  248,774;  238,411;  322,296;12,35392
 195,54;  234,510;  202,642;  301,272;32,31115
 196,14;  239,394;  242,335;  335,114;-3,16962
 196,74;  254,789;  231,718;  329,599;23,56969
 197,34;  225,785;  206,643;  330,897;15,40511
 197,94;  263,203;  235,258;  353,820;23,57034
 198,54;  266,767;  253,027;  363,993;12,38242
 199,14;  240,483;  217,259;  354,060;16,97617
