
Integration time [ms]: 130,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  205,310;  188,806;  192,948;398,44363
 176,32;  230,516;  218,728;  207,323; 0,00000
 176,92;  272,355;  248,652;  240,090; 0,00000
 177,52;  258,269;  261,729;  239,099; 0,00000
 178,12;  255,941;  238,267;  209,348; 0,00000
 178,72;  272,863;  259,574;  241,854; 0,00000
 179,32;  269,043;  241,036;  239,202; 0,00000
 179,92;  262,543;  249,959;  234,033; 0,00000
 180,52;  252,931;  232,730;  241,318;235,22986
 181,12;  258,065;  247,806;  232,456; 0,00000
 181,73;  282,564;  272,575;  262,561; 0,00000
 182,33;  368,929;  344,806;  321,769; 0,00000
 182,93;  273,611;  269,421;  250,076; 0,00000
 183,53;  251,478;  243,574;  216,568; 0,00000
 184,13;  248,676;  244,190;  217,799; 0,00000
 184,73;  280,553;  271,651;  252,053; 0,00000
 185,33;  260,650;  226,337;  314,214;39,04597
 185,93;  272,900;  242,567;  344,643;29,71547
 186,53;  281,081;  246,183;  356,123;31,74237
 187,13;  297,772;  268,645;  389,171;24,16606
 187,73;  269,750;  244,183;  351,695;23,78028
 188,33;  271,603;  239,182;  336,731;33,23494
 188,93;  274,652;  249,104;  347,227;26,03643
 189,53;  281,866;  235,257;  358,725;37,74999
 190,13;  321,191;  280,640;  388,439;37,61684
 190,73;  249,683;  216,487;  327,192;29,98617
 191,34;  293,976;  253,719;  357,002;38,97697
 191,94;  274,436;  229,567;  335,061;42,53243
 192,54;  291,148;  248,261;  366,038;36,41319
 193,14;  284,008;  258,953;  366,396;23,31907
 193,74;  284,820;  251,953;  354,594;32,02107
 194,34;  276,314;  251,415;  354,530;24,14674
 194,94;  258,888;  222,030;  322,296;36,76014
 195,54;  228,142;  202,260;  301,272;26,13968
 196,14;  251,060;  235,492;  335,114;15,62697
 196,74;  245,297;  221,645;  329,599;21,90957
 197,34;  229,674;  197,877;  330,897;23,90367
 197,94;  260,682;  228,722;  353,820;25,54778
 198,54;  255,741;  238,646;  363,993;13,63864
 199,14;  246,786;  217,954;  354,060;21,18382
