
Integration time [ms]: 130,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  203,418;  188,806;  192,948;352,74855
 176,32;  238,122;  218,728;  207,323; 0,00000
 176,92;  254,669;  248,652;  240,090; 0,00000
 177,52;  265,686;  261,729;  239,099; 0,00000
 178,12;  242,685;  238,267;  209,348; 0,00000
 178,72;  269,568;  259,574;  241,854; 0,00000
 179,32;  249,574;  241,036;  239,202; 0,00000
 179,92;  254,142;  249,959;  234,033; 0,00000
 180,52;  253,357;  232,730;  241,318;240,18095
 181,12;  257,558;  247,806;  232,456; 0,00000
 181,73;  283,175;  272,575;  262,561; 0,00000
 182,33;  363,302;  344,806;  321,769; 0,00000
 182,93;  280,187;  269,421;  250,076; 0,00000
 183,53;  244,938;  243,574;  216,568; 0,00000
 184,13;  238,309;  244,190;  217,799; 0,00000
 184,73;  287,374;  271,651;  252,053; 0,00000
 185,33;  264,619;  226,337;  314,214;43,56285
 185,93;  275,554;  242,567;  344,643;32,31620
 186,53;  276,882;  246,183;  356,123;27,92372
 187,13;  307,942;  268,645;  389,171;32,60407
 187,73;  278,823;  244,183;  351,695;32,22016
 188,33;  277,381;  239,182;  336,731;39,15901
 188,93;  279,045;  249,104;  347,227;30,51361
 189,53;  271,670;  235,257;  358,725;29,49153
 190,13;  311,892;  280,640;  388,439;28,99116
 190,73;  256,546;  216,487;  327,192;36,18540
 191,34;  294,600;  253,719;  357,002;39,58196
 191,94;  265,856;  229,567;  335,061;34,39930
 192,54;  294,924;  248,261;  366,038;39,61976
 193,14;  292,747;  258,953;  366,396;31,45274
 193,74;  287,385;  251,953;  354,594;34,52028
 194,34;  283,134;  251,415;  354,530;30,76059
 194,94;  253,402;  222,030;  322,296;31,28880
 195,54;  229,789;  202,260;  301,272;27,80312
 196,14;  255,117;  235,492;  335,114;19,69984
 196,74;  245,710;  221,645;  329,599;22,29151
 197,34;  221,609;  197,877;  330,897;17,84128
 197,94;  259,151;  228,722;  353,820;24,32382
 198,54;  265,954;  238,646;  363,993;21,78625
 199,14;  243,459;  217,954;  354,060;18,73898
