
Integration time [ms]: 130,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  206,494;  188,806;  192,948;427,01594
 176,32;  237,174;  218,728;  207,323; 0,00000
 176,92;  269,265;  248,652;  240,090; 0,00000
 177,52;  268,921;  261,729;  239,099; 0,00000
 178,12;  240,567;  238,267;  209,348; 0,00000
 178,72;  260,954;  259,574;  241,854; 0,00000
 179,32;  264,166;  241,036;  239,202; 0,00000
 179,92;  254,951;  249,959;  234,033; 0,00000
 180,52;  242,281;  232,730;  241,318;111,21641
 181,12;  256,798;  247,806;  232,456; 0,00000
 181,73;  275,992;  272,575;  262,561; 0,00000
 182,33;  365,104;  344,806;  321,769; 0,00000
 182,93;  272,198;  269,421;  250,076; 0,00000
 183,53;  240,005;  243,574;  216,568; 0,00000
 184,13;  241,085;  244,190;  217,799; 0,00000
 184,73;  282,033;  271,651;  252,053; 0,00000
 185,33;  263,134;  226,337;  314,214;41,87294
 185,93;  257,305;  242,567;  344,643;14,43743
 186,53;  275,543;  246,183;  356,123;26,70521
 187,13;  290,958;  268,645;  389,171;18,51275
 187,73;  262,991;  244,183;  351,695;17,49408
 188,33;  257,876;  239,182;  336,731;19,16298
 188,93;  275,943;  249,104;  347,227;27,35197
 189,53;  275,070;  235,257;  358,725;32,24547
 190,13;  307,523;  280,640;  388,439;24,93812
 190,73;  244,937;  216,487;  327,192;25,69855
 191,34;  288,505;  253,719;  357,002;33,68008
 191,94;  260,152;  229,567;  335,061;28,99225
 192,54;  269,231;  248,261;  366,038;17,80430
 193,14;  289,257;  258,953;  366,396;28,20430
 193,74;  285,031;  251,953;  354,594;32,22663
 194,34;  273,183;  251,415;  354,530;21,11063
 194,94;  241,072;  222,030;  322,296;18,99118
 195,54;  233,442;  202,260;  301,272;31,49326
 196,14;  243,940;  235,492;  335,114; 8,48032
 196,74;  240,285;  221,645;  329,599;17,26675
 197,34;  214,611;  197,877;  330,897;12,58006
 197,94;  253,543;  228,722;  353,820;19,84091
 198,54;  254,702;  238,646;  363,993;12,80915
 199,14;  215,655;  217,954;  354,060;-1,68957
