
Integration time [ms]: 130,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  208,923;  188,806;  192,948;485,64932
 176,32;  243,072;  218,728;  207,323; 0,00000
 176,92;  266,051;  248,652;  240,090; 0,00000
 177,52;  265,226;  261,729;  239,099; 0,00000
 178,12;  252,689;  238,267;  209,348; 0,00000
 178,72;  273,428;  259,574;  241,854; 0,00000
 179,32;  265,449;  241,036;  239,202; 0,00000
 179,92;  260,633;  249,959;  234,033; 0,00000
 180,52;  243,856;  232,730;  241,318;129,55915
 181,12;  262,162;  247,806;  232,456; 0,00000
 181,73;  277,957;  272,575;  262,561; 0,00000
 182,33;  369,824;  344,806;  321,769; 0,00000
 182,93;  271,351;  269,421;  250,076; 0,00000
 183,53;  252,734;  243,574;  216,568; 0,00000
 184,13;  242,022;  244,190;  217,799; 0,00000
 184,73;  292,474;  271,651;  252,053; 0,00000
 185,33;  267,282;  226,337;  314,214;46,59300
 185,93;  270,875;  242,567;  344,643;27,73180
 186,53;  285,667;  246,183;  356,123;35,91427
 187,13;  295,805;  268,645;  389,171;22,53418
 187,73;  264,238;  244,183;  351,695;18,65350
 188,33;  281,340;  239,182;  336,731;43,21656
 188,93;  277,073;  249,104;  347,227;28,50418
 189,53;  279,357;  235,257;  358,725;35,71783
 190,13;  310,527;  280,640;  388,439;27,72435
 190,73;  271,228;  216,487;  327,192;49,44802
 191,34;  286,695;  253,719;  357,002;31,92730
 191,94;  265,761;  229,567;  335,061;34,30949
 192,54;  283,601;  248,261;  366,038;30,00604
 193,14;  291,884;  258,953;  366,396;30,65004
 193,74;  299,603;  251,953;  354,594;46,42421
 194,34;  278,937;  251,415;  354,530;26,69055
 194,94;  243,163;  222,030;  322,296;21,07717
 195,54;  229,892;  202,260;  301,272;27,90778
 196,14;  262,590;  235,492;  335,114;27,20114
 196,74;  252,609;  221,645;  329,599;28,68266
 197,34;  231,954;  197,877;  330,897;25,61830
 197,94;  261,925;  228,722;  353,820;26,54121
 198,54;  268,891;  238,646;  363,993;24,12899
 199,14;  245,725;  217,954;  354,060;20,40424
