
Integration time [ms]: 130,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  208,469;  211,381;  192,948; 0,00000
 176,32;  235,062;  234,842;  207,323; 0,00000
 176,92;  271,994;  270,150;  240,090; 0,00000
 177,52;  270,596;  273,381;  239,099; 0,00000
 178,12;  244,207;  246,611;  209,348; 0,00000
 178,72;  279,333;  275,303;  241,854; 0,00000
 179,32;  263,672;  257,996;  239,202; 0,00000
 179,92;  249,206;  260,842;  234,033; 0,00000
 180,52;  250,482;  254,151;  241,318; 0,00000
 181,12;  266,253;  266,996;  232,456; 0,00000
 181,73;  289,562;  281,227;  262,561; 0,00000
 182,33;  384,110;  379,920;  321,769; 0,00000
 182,93;  285,802;  276,535;  250,076; 0,00000
 183,53;  249,297;  245,534;  216,568; 0,00000
 184,13;  245,084;  242,073;  217,799; 0,00000
 184,73;  288,613;  279,073;  252,053; 0,00000
 185,33;  257,187;  249,762;  314,214;11,51956
 185,93;  265,910;  244,454;  344,643;21,41515
 186,53;  274,745;  261,685;  356,123;13,82967
 187,13;  287,968;  279,224;  389,171; 7,95284
 187,73;  258,936;  252,223;  351,695; 6,74803
 188,33;  268,152;  246,761;  336,731;23,77533
 188,93;  278,640;  270,607;  347,227;10,48439
 189,53;  276,591;  250,760;  358,725;23,92484
 190,13;  321,835;  285,606;  388,439;35,23075
 190,73;  252,301;  231,222;  327,192;21,96456
 191,34;  284,137;  263,299;  357,002;22,23829
 191,94;  261,313;  239,146;  335,061;23,11080
 192,54;  272,907;  256,762;  366,038;14,77439
 193,14;  285,453;  264,531;  366,396;20,53852
 193,74;  291,442;  273,916;  354,594;21,72319
 194,34;  282,532;  265,762;  354,530;18,89174
 194,94;  235,890;  232,377;  322,296; 3,90582
 195,54;  227,941;  210,839;  301,272;18,91122
 196,14;  254,137;  232,147;  335,114;21,35663
 196,74;  234,323;  223,839;  329,599; 9,91338
 197,34;  223,288;  198,301;  330,897;18,84438
 197,94;  235,620;  224,685;  353,820; 8,46780
 198,54;  263,746;  246,532;  363,993;14,65577
 199,14;  232,445;  218,993;  354,060; 9,95932
