
Integration time [ms]: 130,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  210,628;  206,883;  192,948; 0,00000
 176,32;  229,022;  243,267;  207,323; 0,00000
 176,92;  267,926;  268,037;  240,090; 0,00000
 177,52;  267,078;  265,575;  239,099; 0,00000
 178,12;  233,349;  242,959;  209,348; 0,00000
 178,72;  280,658;  273,420;  241,854; 0,00000
 179,32;  268,475;  262,036;  239,202; 0,00000
 179,92;  260,369;  244,113;  234,033; 0,00000
 180,52;  245,487;  249,115;  241,318; 0,00000
 181,12;  257,160;  270,729;  232,456; 0,00000
 181,73;  275,455;  286,344;  262,561; 0,00000
 182,33;  377,959;  376,191;  321,769; 0,00000
 182,93;  281,428;  272,883;  250,076; 0,00000
 183,53;  253,051;  243,420;  216,568; 0,00000
 184,13;  241,786;  251,882;  217,799; 0,00000
 184,73;  287,429;  293,804;  252,053; 0,00000
 185,33;  257,328;  241,488;  314,214;21,78019
 185,93;  256,371;  246,948;  344,643; 9,64563
 186,53;  264,642;  257,872;  356,123; 6,89028
 187,13;  292,045;  286,488;  389,171; 5,41195
 187,73;  258,318;  259,102;  351,695;-0,84740
 188,33;  257,012;  243,025;  336,731;14,92725
 188,93;  270,793;  269,253;  347,227; 1,97402
 189,53;  267,334;  254,252;  358,725;12,52207
 190,13;  305,413;  299,942;  388,439; 6,18181
 190,73;  244,749;  235,328;  327,192;10,25533
 191,34;  280,711;  262,638;  357,002;19,15336
 191,94;  248,013;  248,486;  335,061;-0,54559
 192,54;  259,788;  260,489;  366,038;-0,66432
 193,14;  285,631;  271,642;  366,396;14,76340
 193,74;  283,367;  261,411;  354,594;23,56171
 194,34;  271,453;  270,412;  354,530; 1,23809
 194,94;  239,211;  238,411;  322,296; 0,95375
 195,54;  221,415;  202,642;  301,272;19,03430
 196,14;  247,258;  242,335;  335,114; 5,30584
 196,74;  241,208;  231,718;  329,599; 9,69567
 197,34;  216,755;  206,643;  330,897; 8,13810
 197,94;  248,252;  235,258;  353,820;10,95975
 198,54;  263,941;  253,027;  363,993; 9,83545
