
Integration time [ms]: 130,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  207,672;  211,381;  192,948; 0,00000
 176,32;  234,559;  234,842;  207,323; 0,00000
 176,92;  272,779;  270,150;  240,090; 0,00000
 177,52;  264,485;  273,381;  239,099; 0,00000
 178,12;  239,583;  246,611;  209,348; 0,00000
 178,72;  263,397;  275,303;  241,854; 0,00000
 179,32;  255,242;  257,996;  239,202; 0,00000
 179,92;  263,184;  260,842;  234,033; 0,00000
 180,52;  249,981;  254,151;  241,318; 0,00000
 181,12;  264,598;  266,996;  232,456; 0,00000
 181,73;  274,904;  281,227;  262,561; 0,00000
 182,33;  379,400;  379,920;  321,769; 0,00000
 182,93;  286,217;  276,535;  250,076; 0,00000
 183,53;  246,618;  245,534;  216,568; 0,00000
 184,13;  246,754;  242,073;  217,799; 0,00000
 184,73;  288,210;  279,073;  252,053; 0,00000
 185,33;  259,239;  249,762;  314,214;14,70434
 185,93;  272,734;  244,454;  344,643;28,22634
 186,53;  295,051;  261,685;  356,123;35,33091
 187,13;  304,472;  279,224;  389,171;22,96431
 187,73;  274,846;  252,223;  351,695;22,74291
 188,33;  277,185;  246,761;  336,731;33,81499
 188,93;  290,347;  270,607;  347,227;25,76291
 189,53;  290,384;  250,760;  358,725;36,70045
 190,13;  323,344;  285,606;  388,439;36,69888
 190,73;  276,044;  231,222;  327,192;46,70469
 191,34;  303,682;  263,299;  357,002;43,09663
 191,94;  278,133;  239,146;  335,061;40,64746
 192,54;  289,362;  256,762;  366,038;29,83206
 193,14;  299,280;  264,531;  366,396;34,11220
 193,74;  294,614;  273,916;  354,594;25,65510
 194,34;  301,661;  265,762;  354,530;40,44174
 194,94;  257,704;  232,377;  322,296;28,16655
 195,54;  235,331;  210,839;  301,272;27,08315
 196,14;  258,640;  232,147;  335,114;25,72994
 196,74;  263,411;  223,839;  329,599;37,41649
 197,34;  238,888;  198,301;  330,897;30,60959
 197,94;  273,681;  224,685;  353,820;37,94152
 198,54;  278,631;  246,532;  363,993;27,32779
 199,14;  261,730;  218,993;  354,060;31,64126
