
Integration time [ms]: 130,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  214,525;  188,806;  192,948;620,90605
 176,32;  231,404;  218,728;  207,323; 0,00000
 176,92;  254,304;  248,652;  240,090; 0,00000
 177,52;  261,740;  261,729;  239,099; 0,00000
 178,12;  239,440;  238,267;  209,348; 0,00000
 178,72;  272,706;  259,574;  241,854; 0,00000
 179,32;  255,548;  241,036;  239,202; 0,00000
 179,92;  256,149;  249,959;  234,033; 0,00000
 180,52;  246,306;  232,730;  241,318;158,08567
 181,12;  268,431;  247,806;  232,456; 0,00000
 181,73;  272,072;  272,575;  262,561; 0,00000
 182,33;  343,900;  344,806;  321,769; 0,00000
 182,93;  271,930;  269,421;  250,076; 0,00000
 183,53;  246,187;  243,574;  216,568; 0,00000
 184,13;  250,906;  244,190;  217,799; 0,00000
 184,73;  273,972;  271,651;  252,053; 0,00000
 185,33;  258,010;  226,337;  314,214;36,04169
 185,93;  269,433;  242,567;  344,643;26,31925
 186,53;  277,486;  246,183;  356,123;28,47227
 187,13;  294,688;  268,645;  389,171;21,60754
 187,73;  271,346;  244,183;  351,695;25,26533
 188,33;  276,406;  239,182;  336,731;38,15948
 188,93;  276,243;  249,104;  347,227;27,65832
 189,53;  276,435;  235,257;  358,725;33,35137
 190,13;  306,128;  280,640;  388,439;23,64353
 190,73;  255,398;  216,487;  327,192;35,14801
 191,34;  298,540;  253,719;  357,002;43,39606
 191,94;  274,297;  229,567;  335,061;42,40104
 192,54;  286,756;  248,261;  366,038;32,68478
 193,14;  294,472;  258,953;  366,396;33,05879
 193,74;  279,380;  251,953;  354,594;26,72087
 194,34;  282,216;  251,415;  354,530;29,87119
 194,94;  250,970;  222,030;  322,296;28,86302
 195,54;  224,958;  202,260;  301,272;22,92468
 196,14;  249,479;  235,492;  335,114;14,03973
 196,74;  246,291;  221,645;  329,599;22,83036
 197,34;  230,798;  197,877;  330,897;24,74891
 197,94;  261,750;  228,722;  353,820;26,40101
 198,54;  266,314;  238,646;  363,993;22,07368
 199,14;  250,799;  217,954;  354,060;24,13176
