
Integration time [ms]: 130,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  194,590;  180,464;  192,948;113,14606
 176,32;  231,726;  212,078;  207,323; 0,00000
 176,92;  243,578;  234,848;  240,090;166,54891
 177,52;  245,871;  246,002;  239,099; 0,00000
 178,12;  232,564;  225,848;  209,348; 0,00000
 178,72;  254,383;  243,540;  241,854; 0,00000
 179,32;  239,951;  244,232;  239,202; 0,00000
 179,92;  241,637;  235,079;  234,033; 0,00000
 180,52;  234,600;  228,772;  241,318;46,45193
 181,12;  243,145;  235,310;  232,456; 0,00000
 181,73;  266,684;  259,848;  262,561;251,95245
 182,33;  325,769;  299,541;  321,769;117,99347
 182,93;  268,000;  245,079;  250,076;458,71343
 183,53;  227,963;  230,463;  216,568; 0,00000
 184,13;  230,980;  222,309;  217,799; 0,00000
 184,73;  264,356;  244,155;  252,053;255,76249
 185,33;  240,806;  214,380;  314,214;26,46990
 185,93;  237,994;  228,994;  344,643; 7,78189
 186,53;  257,443;  230,456;  356,123;21,47498
 187,13;  287,200;  261,149;  389,171;20,34870
 187,73;  257,096;  229,841;  351,695;22,36746
 188,33;  249,084;  231,532;  336,731;16,68419
 188,93;  254,579;  226,070;  347,227;23,53043
 189,53;  260,765;  240,453;  358,725;17,17362
 190,13;  295,786;  271,759;  388,439;20,59202
 190,73;  231,632;  208,914;  327,192;19,20675
 191,34;  277,693;  254,838;  357,002;22,37021
 191,94;  251,708;  218,532;  335,061;28,47038
 192,54;  256,983;  246,073;  366,038; 9,09427
 193,14;  261,378;  246,457;  366,396;12,44044
 193,74;  265,291;  241,380;  354,594;21,11989
 194,34;  259,918;  237,226;  354,530;19,34413
 194,94;  225,353;  197,995;  322,296;22,00938
 195,54;  215,329;  188,303;  301,272;23,92368
 196,14;  248,061;  209,611;  335,114;30,63629
 196,74;  228,020;  195,379;  329,599;24,31873
 197,34;  216,747;  183,381;  330,897;22,61886
 197,94;  248,852;  221,072;  353,820;20,92688
 198,54;  247,900;  219,765;  363,993;19,50770
 199,14;  221,980;  204,073;  354,060;11,93891
