
Integration time [ms]: 130,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  219,454;  208,054;  192,948; 0,00000
 176,32;  238,887;  240,435;  207,323; 0,00000
 176,92;  251,859;  254,899;  240,090; 0,00000
 177,52;  271,123;  256,284;  239,099; 0,00000
 178,12;  235,354;  250,743;  209,348; 0,00000
 178,72;  269,835;  287,126;  241,854; 0,00000
 179,32;  255,033;  257,589;  239,202; 0,00000
 179,92;  266,025;  251,667;  234,033; 0,00000
 180,52;  249,980;  243,748;  241,318; 0,00000
 181,12;  269,792;  278,052;  232,456; 0,00000
 181,73;  270,134;  278,821;  262,561; 0,00000
 182,33;  371,596;  377,593;  321,769; 0,00000
 182,93;  276,324;  274,899;  250,076; 0,00000
 183,53;  253,356;  243,280;  216,568; 0,00000
 184,13;  248,504;  243,742;  217,799; 0,00000
 184,73;  287,930;  294,356;  252,053; 0,00000
 185,33;  258,994;  247,874;  314,214;16,76222
 185,93;  262,899;  249,794;  344,643;13,81674
 186,53;  282,730;  260,103;  356,123;23,56490
 187,13;  293,715;  282,722;  389,171;10,32741
 187,73;  261,734;  246,410;  351,695;14,55455
 188,33;  265,796;  235,255;  336,731;30,09670
 188,93;  278,555;  264,789;  347,227;16,69814
 189,53;  269,970;  255,939;  358,725;13,65092
 190,13;  309,749;  289,780;  388,439;20,24064
 190,73;  249,560;  232,476;  327,192;18,03708
 191,34;  288,446;  273,018;  357,002;18,37013
 191,94;  269,636;  249,715;  335,061;23,34144
 192,54;  281,261;  264,339;  366,038;16,63982
 193,14;  276,556;  277,644;  366,396;-1,22592
 193,74;  289,569;  268,413;  354,594;24,54866
 194,34;  280,934;  265,645;  354,530;17,20096
 194,94;  242,526;  232,644;  322,296;11,02247
 195,54;  207,070;  207,028;  301,272; 0,04424
 196,14;  245,912;  231,723;  335,114;13,72406
 196,74;  240,615;  243,950;  329,599;-3,89424
 197,34;  222,401;  199,032;  330,897;17,72188
 197,94;  247,606;  233,260;  353,820;11,89973
 198,54;  251,981;  245,338;  363,993; 5,59901
 199,14;  235,429;  222,340;  354,060; 9,93662
