
Integration time [ms]: 130,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  204,584;  188,806;  192,948;380,90548
 176,32;  239,433;  218,728;  207,323; 0,00000
 176,92;  258,969;  248,652;  240,090; 0,00000
 177,52;  260,595;  261,729;  239,099; 0,00000
 178,12;  238,355;  238,267;  209,348; 0,00000
 178,72;  273,194;  259,574;  241,854; 0,00000
 179,32;  246,580;  241,036;  239,202; 0,00000
 179,92;  262,885;  249,959;  234,033; 0,00000
 180,52;  247,551;  232,730;  241,318;172,57326
 181,12;  269,024;  247,806;  232,456; 0,00000
 181,73;  278,196;  272,575;  262,561; 0,00000
 182,33;  370,015;  344,806;  321,769; 0,00000
 182,93;  281,106;  269,421;  250,076; 0,00000
 183,53;  239,051;  243,574;  216,568; 0,00000
 184,13;  239,865;  244,190;  217,799; 0,00000
 184,73;  287,340;  271,651;  252,053; 0,00000
 185,33;  255,948;  226,337;  314,214;33,69543
 185,93;  274,447;  242,567;  344,643;31,23161
 186,53;  278,592;  246,183;  356,123;29,47883
 187,13;  304,895;  268,645;  389,171;30,07673
 187,73;  270,879;  244,183;  351,695;24,83038
 188,33;  278,783;  239,182;  336,731;40,59582
 188,93;  272,240;  249,104;  347,227;23,57836
 189,53;  280,837;  235,257;  358,725;36,91624
 190,13;  322,371;  280,640;  388,439;38,71164
 190,73;  255,212;  216,487;  327,192;34,98060
 191,34;  291,123;  253,719;  357,002;36,21499
 191,94;  268,318;  229,567;  335,061;36,73278
 192,54;  276,413;  248,261;  366,038;23,90286
 193,14;  290,443;  258,953;  366,396;29,30825
 193,74;  285,635;  251,953;  354,594;32,81499
 194,34;  276,327;  251,415;  354,530;24,15927
 194,94;  250,953;  222,030;  322,296;28,84680
 195,54;  214,478;  202,260;  301,272;12,34004
 196,14;  252,351;  235,492;  335,114;16,92272
 196,74;  243,979;  221,645;  329,599;20,68858
 197,34;  228,598;  197,877;  330,897;23,09514
 197,94;  260,398;  228,722;  353,820;25,32098
 198,54;  273,574;  238,646;  363,993;27,86565
 199,14;  249,039;  217,954;  354,060;22,83915
