
Integration time [ms]: 120,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  199,818;  198,725;  209,729; 9,93530
 176,32;  229,217;  233,791;  221,495; 0,00000
 176,92;  258,680;  251,952;  246,144; 0,00000
 177,52;  260,251;  249,569;  261,381;90,43145
 178,12;  240,426;  210,945;  220,620;304,69792
 178,72;  262,637;  248,635;  250,038;997,75115
 179,32;  251,590;  255,406;  241,911; 0,00000
 179,92;  251,145;  255,641;  248,129; 0,00000
 180,52;  241,157;  233,115;  240,492;109,01034
 181,12;  252,845;  249,103;  245,056; 0,00000
 181,73;  277,374;  265,873;  272,598;171,00812
 182,33;  344,933;  349,879;  341,303; 0,00000
 182,93;  275,280;  259,492;  262,580;511,16200
 183,53;  236,971;  241,402;  230,123; 0,00000
 184,13;  236,986;  231,942;  223,284; 0,00000
 184,73;  271,157;  262,785;  270,840;103,93090
 185,33;  251,405;  235,800;  340,235;14,94226
 185,93;  260,641;  233,331;  341,231;25,31014
 186,53;  280,953;  252,412;  358,480;26,90767
 187,13;  305,216;  259,651;  408,456;30,62025
 187,73;  260,141;  235,102;  356,651;20,59978
 188,33;  267,781;  242,097;  355,217;22,70489
 188,93;  277,162;  252,084;  372,324;20,85633
 189,53;  278,580;  250,458;  375,462;22,49660
 190,13;  306,284;  288,441;  393,447;16,99169
 190,73;  246,762;  221,607;  354,699;18,90045
 191,34;  290,436;  261,772;  383,107;23,62372
 191,94;  252,391;  243,170;  355,212; 8,23025
 192,54;  282,710;  244,657;  378,976;28,33014
 193,14;  282,350;  261,650;  386,945;16,52058
 193,74;  276,962;  256,803;  371,292;17,60756
 194,34;  274,485;  254,345;  379,723;16,06341
 194,94;  252,148;  215,650;  345,606;28,08498
 195,54;  232,755;  198,339;  325,621;27,03923
 196,14;  254,288;  226,731;  350,792;22,21227
 196,74;  240,928;  216,030;  338,690;20,29882
 197,34;  222,448;  203,967;  338,400;13,74767
 197,94;  257,672;  224,267;  375,503;22,08792
 198,54;  261,507;  232,346;  384,669;19,14378
 199,14;  234,958;  223,046;  367,104; 8,26855
