
Integration time [ms]: 120,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  197,472;  200,110;  202,873;-95,49946
 176,32;  225,554;  231,332;  217,715; 0,00000
 176,92;  244,342;  245,184;  240,921; 0,00000
 177,52;  251,971;  250,109;  256,275;30,19821
 178,12;  230,318;  223,102;  218,213; 0,00000
 178,72;  250,247;  248,022;  243,330; 0,00000
 179,32;  248,386;  256,178;  243,824; 0,00000
 179,92;  255,045;  241,720;  245,617;341,93580
 180,52;  240,904;  230,730;  241,246;96,74644
 181,12;  254,778;  248,567;  250,061;415,75974
 181,73;  273,886;  265,952;  273,731;101,99668
 182,33;  333,481;  337,265;  342,339;-74,58101
 182,93;  261,070;  258,493;  264,171;45,39254
 183,53;  239,587;  235,252;  221,768; 0,00000
 184,13;  235,976;  230,330;  222,348; 0,00000
 184,73;  260,946;  263,712;  262,061; 0,00000
 185,33;  255,218;  222,813;  335,622;28,72596
 185,93;  262,502;  225,114;  349,529;30,05141
 186,53;  271,763;  238,117;  379,892;23,73165
 187,13;  297,927;  271,894;  396,171;20,94739
 187,73;  270,434;  225,807;  353,841;34,85539
 188,33;  268,504;  238,650;  368,758;22,94548
 188,93;  276,822;  246,946;  366,563;24,97663
 189,53;  281,089;  240,552;  363,460;32,98180
 190,13;  302,432;  275,692;  394,159;22,57174
 190,73;  256,495;  213,317;  352,390;31,04676
 191,34;  285,923;  251,866;  378,765;26,83850
 191,94;  258,990;  235,107;  360,268;19,08158
 192,54;  272,304;  241,591;  390,133;20,67619
 193,14;  295,873;  257,816;  388,913;29,02932
 193,74;  282,652;  252,969;  383,609;22,72102
 194,34;  276,243;  254,664;  378,868;17,37376
 194,94;  244,511;  210,354;  355,117;23,59476
 195,54;  210,969;  192,813;  337,228;12,57219
 196,14;  251,047;  222,204;  355,041;21,71353
 196,74;  246,753;  220,965;  336,888;22,24541
 197,34;  216,814;  185,516;  340,966;20,13416
 197,94;  248,469;  223,202;  369,904;17,22388
 198,54;  256,572;  229,435;  370,150;19,28565
 199,14;  241,062;  206,826;  380,207;19,74619
