
Integration time [ms]: 120,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  199,803;  198,725;  209,729; 9,79759
 176,32;  228,430;  233,791;  221,495; 0,00000
 176,92;  253,983;  251,952;  246,144; 0,00000
 177,52;  266,490;  249,569;  261,381;143,24710
 178,12;  226,926;  210,945;  220,620;165,16712
 178,72;  253,899;  248,635;  250,038;375,11639
 179,32;  253,420;  255,406;  241,911; 0,00000
 179,92;  250,077;  255,641;  248,129; 0,00000
 180,52;  246,478;  233,115;  240,492;181,12643
 181,12;  258,740;  249,103;  245,056; 0,00000
 181,73;  286,838;  265,873;  272,598;311,73699
 182,33;  339,095;  349,879;  341,303; 0,00000
 182,93;  265,065;  259,492;  262,580;180,42982
 183,53;  246,466;  241,402;  230,123; 0,00000
 184,13;  247,561;  231,942;  223,284; 0,00000
 184,73;  294,180;  262,785;  270,840;389,77248
 185,33;  266,392;  235,800;  340,235;29,29219
 185,93;  261,470;  233,331;  341,231;26,07893
 186,53;  285,655;  252,412;  358,480;31,34126
 187,13;  308,430;  259,651;  408,456;32,78036
 187,73;  263,609;  235,102;  356,651;23,45301
 188,33;  269,614;  242,097;  355,217;24,32545
 188,93;  278,215;  252,084;  372,324;21,73250
 189,53;  280,769;  250,458;  375,462;24,24820
 190,13;  319,012;  288,441;  393,447;29,11359
 190,73;  255,837;  221,607;  354,699;25,71938
 191,34;  291,301;  261,772;  383,107;24,33688
 191,94;  269,375;  243,170;  355,212;23,38901
 192,54;  275,159;  244,657;  378,976;22,70838
 193,14;  295,988;  261,650;  386,945;27,40524
 193,74;  287,518;  256,803;  371,292;26,82789
 194,34;  282,645;  254,345;  379,723;22,57222
 194,94;  258,101;  215,650;  345,606;32,66577
 195,54;  233,492;  198,339;  325,621;27,61825
 196,14;  249,359;  226,731;  350,792;18,23977
 196,74;  251,296;  216,030;  338,690;28,75152
 197,34;  221,652;  203,967;  338,400;13,15577
 197,94;  251,798;  224,267;  375,503;18,20414
 198,54;  258,657;  232,346;  384,669;17,27304
 199,14;  235,100;  223,046;  367,104; 8,36729
