
Integration time [ms]: 120,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  207,119;  200,110;  202,873;253,68791
 176,32;  220,795;  231,332;  217,715; 0,00000
 176,92;  250,586;  245,184;  240,921; 0,00000
 177,52;  260,051;  250,109;  256,275;161,24137
 178,12;  235,196;  223,102;  218,213; 0,00000
 178,72;  250,049;  248,022;  243,330; 0,00000
 179,32;  234,010;  256,178;  243,824; 0,00000
 179,92;  254,576;  241,720;  245,617;329,89141
 180,52;  238,458;  230,730;  241,246;73,49028
 181,12;  246,193;  248,567;  250,061;-158,87136
 181,73;  272,196;  265,952;  273,731;80,27162
 182,33;  335,799;  337,265;  342,339;-28,89658
 182,93;  258,297;  258,493;  264,171;-3,45598
 183,53;  225,075;  235,252;  221,768; 0,00000
 184,13;  232,310;  230,330;  222,348; 0,00000
 184,73;  273,055;  263,712;  262,061; 0,00000
 185,33;  264,070;  222,813;  335,622;36,57246
 185,93;  271,570;  225,114;  349,529;37,33987
 186,53;  283,428;  238,117;  379,892;31,95992
 187,13;  311,022;  271,894;  396,171;31,48481
 187,73;  264,712;  225,807;  353,841;30,38622
 188,33;  271,099;  238,650;  368,758;24,94041
 188,93;  278,705;  246,946;  366,563;26,55059
 189,53;  289,120;  240,552;  363,460;39,51576
 190,13;  324,347;  275,692;  394,159;41,07025
 190,73;  265,242;  213,317;  352,390;37,33692
 191,34;  292,678;  251,866;  378,765;32,16107
 191,94;  260,732;  235,107;  360,268;20,47334
 192,54;  278,102;  241,591;  390,133;24,57943
 193,14;  287,466;  257,816;  388,913;22,61683
 193,74;  284,169;  252,969;  383,609;23,88289
 194,34;  294,548;  254,664;  378,868;32,11206
 194,94;  255,712;  210,354;  355,117;31,33232
 195,54;  230,302;  192,813;  337,228;25,95891
 196,14;  253,985;  222,204;  355,041;23,92458
 196,74;  242,835;  220,965;  336,888;18,86539
 197,34;  234,246;  185,516;  340,966;31,34760
 197,94;  259,731;  223,202;  369,904;24,90002
 198,54;  267,200;  229,435;  370,150;26,83812
 199,14;  245,485;  206,826;  380,207;22,29707
