
Integration time [ms]: 120,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  199,390;  177,341;  181,932;480,25326
 176,32;  222,187;  201,724;  196,771; 0,00000
 176,92;  239,818;  221,879;  219,181; 0,00000
 177,52;  245,334;  236,264;  242,747;139,90897
 178,12;  226,738;  222,186;  203,032; 0,00000
 178,72;  256,940;  235,570;  241,190;380,27950
 179,32;  252,025;  226,263;  215,572; 0,00000
 179,92;  247,545;  222,494;  228,231;436,68169
 180,52;  237,929;  212,495;  231,073;136,90586
 181,12;  248,708;  229,494;  229,818; 0,00000
 181,73;  275,605;  243,725;  240,244; 0,00000
 182,33;  334,549;  287,726;  289,153;3281,37400
 182,93;  262,994;  243,495;  244,568;1816,97677
 183,53;  240,282;  225,801;  215,804; 0,00000
 184,13;  237,992;  233,878;  221,748; 0,00000
 184,73;  264,757;  235,186;  246,963;251,08869
 185,33;  257,425;  222,410;  328,091;33,13244
 185,93;  264,361;  220,871;  340,951;36,21689
 186,53;  271,411;  221,564;  345,642;40,17422
 187,13;  292,145;  256,795;  382,267;28,17322
 187,73;  273,597;  218,487;  342,172;44,55689
 188,33;  271,514;  217,102;  349,994;40,94414
 188,93;  263,974;  225,023;  355,606;29,82821
 189,53;  265,682;  231,946;  360,495;26,24422
 190,13;  302,879;  260,790;  374,664;36,96082
 190,73;  246,723;  203,637;  324,040;35,78431
 191,34;  279,725;  230,100;  361,556;37,75024
 191,94;  261,895;  219,640;  320,107;42,05897
 192,54;  265,252;  232,719;  366,990;24,22904
 193,14;  284,051;  242,103;  367,943;33,33399
 193,74;  272,733;  225,334;  348,583;38,45775
 194,34;  271,920;  221,488;  354,873;37,80945
 194,94;  249,556;  190,257;  330,995;42,13468
 195,54;  216,430;  193,949;  319,846;17,85643
 196,14;  243,081;  208,103;  347,636;25,06744
 196,74;  239,253;  198,333;  322,302;33,00793
 197,34;  209,036;  177,642;  328,720;20,77960
 197,94;  246,655;  209,642;  343,536;27,64404
 198,54;  254,611;  204,103;  360,975;32,19659
 199,14;  242,801;  191,258;  377,922;27,61281
