
Integration time [ms]: 120,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  208,172;  198,725;  209,729;85,85640
 176,32;  218,717;  233,791;  221,495; 0,00000
 176,92;  254,546;  251,952;  246,144; 0,00000
 177,52;  260,776;  249,569;  261,381;94,87704
 178,12;  233,351;  210,945;  220,620;231,58211
 178,72;  250,505;  248,635;  250,038;133,29755
 179,32;  235,862;  255,406;  241,911; 0,00000
 179,92;  239,450;  255,641;  248,129; 0,00000
 180,52;  244,495;  233,115;  240,492;154,26037
 181,12;  255,548;  249,103;  245,056; 0,00000
 181,73;  271,536;  265,873;  272,598;84,20769
 182,33;  342,811;  349,879;  341,303; 0,00000
 182,93;  279,433;  259,492;  262,580;645,62442
 183,53;  229,513;  241,402;  230,123; 0,00000
 184,13;  235,325;  231,942;  223,284; 0,00000
 184,73;  281,428;  262,785;  270,840;231,45546
 185,33;  255,150;  235,800;  340,235;18,52794
 185,93;  264,499;  233,331;  341,231;28,88538
 186,53;  270,847;  252,412;  358,480;17,38025
 187,13;  299,562;  259,651;  408,456;26,82079
 187,73;  263,137;  235,102;  356,651;23,06523
 188,33;  258,600;  242,097;  355,217;14,58852
 188,93;  275,990;  252,084;  372,324;19,88222
 189,53;  273,528;  250,458;  375,462;18,45523
 190,13;  310,369;  288,441;  393,447;20,88261
 190,73;  240,941;  221,607;  354,699;14,52686
 191,34;  295,523;  261,772;  383,107;27,81629
 191,94;  267,137;  243,170;  355,212;21,39162
 192,54;  287,999;  244,657;  378,976;32,26789
 193,14;  276,609;  261,650;  386,945;11,93840
 193,74;  281,805;  256,803;  371,292;21,83823
 194,34;  271,739;  254,345;  379,723;13,87364
 194,94;  245,189;  215,650;  345,606;22,72982
 195,54;  233,468;  198,339;  325,621;27,59946
 196,14;  255,391;  226,731;  350,792;23,10112
 196,74;  236,415;  216,030;  338,690;16,61920
 197,34;  231,505;  203,967;  338,400;20,48505
 197,94;  246,153;  224,267;  375,503;14,47143
 198,54;  266,151;  232,346;  384,669;22,19280
 199,14;  249,547;  223,046;  367,104;18,39592
