
Integration time [ms]: 120,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  194,948;  200,110;  202,873;-186,87827
 176,32;  220,383;  231,332;  217,715; 0,00000
 176,92;  242,684;  245,184;  240,921; 0,00000
 177,52;  254,950;  250,109;  256,275;78,51750
 178,12;  224,616;  223,102;  218,213; 0,00000
 178,72;  252,495;  248,022;  243,330; 0,00000
 179,32;  239,523;  256,178;  243,824; 0,00000
 179,92;  251,176;  241,720;  245,617;242,63531
 180,52;  235,553;  230,730;  241,246;45,86114
 181,12;  255,921;  248,567;  250,061;492,27553
 181,73;  267,891;  265,952;  273,731;24,92854
 182,33;  337,282;  337,265;  342,339; 0,34241
 182,93;  263,893;  258,493;  264,171;95,11542
 183,53;  231,730;  235,252;  221,768; 0,00000
 184,13;  236,683;  230,330;  222,348; 0,00000
 184,73;  271,988;  263,712;  262,061; 0,00000
 185,33;  256,339;  222,813;  335,622;29,71913
 185,93;  264,952;  225,114;  349,529;32,02072
 186,53;  286,437;  238,117;  379,892;34,08212
 187,13;  305,589;  271,894;  396,171;27,11306
 187,73;  266,980;  225,807;  353,841;32,15735
 188,33;  270,823;  238,650;  368,758;24,72769
 188,93;  265,829;  246,946;  366,563;15,78600
 189,53;  269,685;  240,552;  363,460;23,70313
 190,13;  309,197;  275,692;  394,159;28,28215
 190,73;  257,612;  213,317;  352,390;31,85052
 191,34;  292,093;  251,866;  378,765;31,70010
 191,94;  265,076;  235,107;  360,268;23,94435
 192,54;  275,994;  241,591;  390,133;23,16071
 193,14;  289,214;  257,816;  388,913;23,95019
 193,74;  272,430;  252,969;  383,609;14,89649
 194,34;  285,462;  254,664;  378,868;24,79664
 194,94;  246,080;  210,354;  355,117;24,67904
 195,54;  222,942;  192,813;  337,228;20,86282
 196,14;  252,144;  222,204;  355,041;22,53892
 196,74;  246,232;  220,965;  336,888;21,79632
 197,34;  223,844;  185,516;  340,966;24,65625
 197,94;  246,520;  223,202;  369,904;15,89534
 198,54;  254,899;  229,435;  370,150;18,09640
 199,14;  240,447;  206,826;  380,207;19,39164
