
Integration time [ms]: 120,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  183,736;  177,341;  181,932;139,29800
 176,32;  218,606;  201,724;  196,771; 0,00000
 176,92;  233,618;  221,879;  219,181; 0,00000
 177,52;  249,811;  236,264;  242,747;208,96334
 178,12;  206,225;  222,186;  203,032; 0,00000
 178,72;  240,019;  235,570;  241,190;79,16580
 179,32;  245,130;  226,263;  215,572; 0,00000
 179,92;  244,947;  222,494;  228,231;391,39589
 180,52;  228,202;  212,495;  231,073;84,54623
 181,12;  237,156;  229,494;  229,818; 0,00000
 181,73;  269,590;  243,725;  240,244; 0,00000
 182,33;  310,689;  287,726;  289,153;1609,26523
 182,93;  252,215;  243,495;  244,568;812,59751
 183,53;  217,251;  225,801;  215,804; 0,00000
 184,13;  221,053;  233,878;  221,748; 0,00000
 184,73;  254,659;  235,186;  246,963;165,34946
 185,33;  251,546;  222,410;  328,091;27,56916
 185,93;  253,525;  220,871;  340,951;27,19329
 186,53;  267,558;  221,564;  345,642;37,06896
 187,13;  296,039;  256,795;  382,267;31,27650
 187,73;  253,862;  218,487;  342,172;28,60144
 188,33;  254,233;  217,102;  349,994;27,94107
 188,93;  263,744;  225,023;  355,606;29,65182
 189,53;  278,036;  231,946;  360,495;35,85393
 190,13;  306,659;  260,790;  374,664;40,28037
 190,73;  242,411;  203,637;  324,040;32,20320
 191,34;  279,767;  230,100;  361,556;37,78247
 191,94;  246,476;  219,640;  320,107;26,71119
 192,54;  260,998;  232,719;  366,990;21,06090
 193,14;  268,354;  242,103;  367,943;20,86051
 193,74;  269,566;  225,334;  348,583;35,88841
 194,34;  257,761;  221,488;  354,873;27,19422
 194,94;  228,220;  190,257;  330,995;26,97420
 195,54;  207,150;  193,949;  319,846;10,48574
 196,14;  251,601;  208,103;  347,636;31,17358
 196,74;  232,590;  198,333;  322,302;27,63300
 197,34;  215,083;  177,642;  328,720;24,78201
 197,94;  248,971;  209,642;  343,536;29,37315
 198,54;  256,356;  204,103;  360,975;33,30875
 199,14;  228,000;  191,258;  377,922;19,68373
