
Integration time [ms]: 120,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  196,337;  198,725;  209,729;-21,69628
 176,32;  228,415;  233,791;  221,495; 0,00000
 176,92;  256,076;  251,952;  246,144; 0,00000
 177,52;  252,619;  249,569;  261,381;25,82036
 178,12;  252,100;  210,945;  220,620;425,36254
 178,72;  270,665;  248,635;  250,038;1569,73106
 179,32;  249,325;  255,406;  241,911; 0,00000
 179,92;  252,417;  255,641;  248,129; 0,00000
 180,52;  241,654;  233,115;  240,492;115,74086
 181,12;  259,068;  249,103;  245,056; 0,00000
 181,73;  268,401;  265,873;  272,598;37,57816
 182,33;  349,569;  349,879;  341,303; 0,00000
 182,93;  268,258;  259,492;  262,580;283,81206
 183,53;  238,477;  241,402;  230,123; 0,00000
 184,13;  237,471;  231,942;  223,284; 0,00000
 184,73;  273,844;  262,785;  270,840;137,29981
 185,33;  253,468;  235,800;  340,235;16,91716
 185,93;  265,343;  233,331;  341,231;29,66762
 186,53;  283,806;  252,412;  358,480;29,59772
 187,13;  299,990;  259,651;  408,456;27,10864
 187,73;  265,805;  235,102;  356,651;25,26022
 188,33;  266,827;  242,097;  355,217;21,86166
 188,93;  283,008;  252,084;  372,324;25,71890
 189,53;  285,424;  250,458;  375,462;27,97180
 190,13;  320,575;  288,441;  393,447;30,60188
 190,73;  257,020;  221,607;  354,699;26,60819
 191,34;  290,137;  261,772;  383,107;23,37707
 191,94;  265,883;  243,170;  355,212;20,27222
 192,54;  289,557;  244,657;  378,976;33,42748
 193,14;  292,403;  261,650;  386,945;24,54433
 193,74;  277,884;  256,803;  371,292;18,41344
 194,34;  276,991;  254,345;  379,723;18,06282
 194,94;  249,811;  215,650;  345,606;26,28682
 195,54;  207,832;  198,339;  325,621; 7,45772
 196,14;  258,399;  226,731;  350,792;25,52630
 196,74;  246,936;  216,030;  338,690;25,19640
 197,34;  224,824;  203,967;  338,400;15,51490
 197,94;  256,993;  224,267;  375,503;21,63914
 198,54;  255,001;  232,346;  384,669;14,87301
 199,14;  241,822;  223,046;  367,104;13,03308
