
Integration time [ms]: 120,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  202,303;  198,725;  209,729;32,51618
 176,32;  223,480;  233,791;  221,495; 0,00000
 176,92;  248,865;  251,952;  246,144; 0,00000
 177,52;  257,386;  249,569;  261,381;66,18176
 178,12;  233,850;  210,945;  220,620;236,73839
 178,72;  261,847;  248,635;  250,038;941,46513
 179,32;  247,852;  255,406;  241,911; 0,00000
 179,92;  248,107;  255,641;  248,129; 0,00000
 180,52;  237,450;  233,115;  240,492;58,76791
 181,12;  256,515;  249,103;  245,056; 0,00000
 181,73;  268,063;  265,873;  272,598;32,55852
 182,33;  349,209;  349,879;  341,303; 0,00000
 182,93;  262,028;  259,492;  262,580;82,11166
 183,53;  237,763;  241,402;  230,123; 0,00000
 184,13;  242,271;  231,942;  223,284; 0,00000
 184,73;  283,075;  262,785;  270,840;251,90158
 185,33;  260,414;  235,800;  340,235;23,56842
 185,93;  260,337;  233,331;  341,231;25,02869
 186,53;  285,272;  252,412;  358,480;30,97999
 187,13;  301,014;  259,651;  408,456;27,79639
 187,73;  274,475;  235,102;  356,651;32,39249
 188,33;  282,489;  242,097;  355,217;35,70691
 188,93;  276,125;  252,084;  372,324;19,99397
 189,53;  283,942;  250,458;  375,462;26,78624
 190,13;  312,371;  288,441;  393,447;22,78896
 190,73;  262,781;  221,607;  354,699;30,93651
 191,34;  288,394;  261,772;  383,107;21,94113
 191,94;  262,389;  243,170;  355,212;17,15351
 192,54;  281,788;  244,657;  378,976;27,64373
 193,14;  289,132;  261,650;  386,945;21,93328
 193,74;  284,483;  256,803;  371,292;24,17675
 194,34;  284,997;  254,345;  379,723;24,44814
 194,94;  247,465;  215,650;  345,606;24,48159
 195,54;  229,003;  198,339;  325,621;24,09079
 196,14;  251,607;  226,731;  350,792;20,05105
 196,74;  243,522;  216,030;  338,690;22,41304
 197,34;  218,948;  203,967;  338,400;11,14440
 197,94;  257,244;  224,267;  375,503;21,80480
 198,54;  263,209;  232,346;  384,669;20,26155
 199,14;  251,670;  223,046;  367,104;19,86938
