
Integration time [ms]: 120,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  201,571;  198,725;  209,729;25,86821
 176,32;  233,005;  233,791;  221,495; 0,00000
 176,92;  249,041;  251,952;  246,144; 0,00000
 177,52;  254,689;  249,569;  261,381;43,34799
 178,12;  234,646;  210,945;  220,620;244,96238
 178,72;  266,510;  248,635;  250,038;1273,66301
 179,32;  246,450;  255,406;  241,911; 0,00000
 179,92;  256,571;  255,641;  248,129; 0,00000
 180,52;  246,884;  233,115;  240,492;186,62927
 181,12;  251,667;  249,103;  245,056; 0,00000
 181,73;  275,613;  265,873;  272,598;144,83138
 182,33;  348,429;  349,879;  341,303; 0,00000
 182,93;  266,393;  259,492;  262,580;223,43823
 183,53;  238,961;  241,402;  230,123; 0,00000
 184,13;  240,461;  231,942;  223,284; 0,00000
 184,73;  269,912;  262,785;  270,840;88,47214
 185,33;  266,363;  235,800;  340,235;29,26468
 185,93;  261,383;  233,331;  341,231;25,99782
 186,53;  282,487;  252,412;  358,480;28,35436
 187,13;  308,267;  259,651;  408,456;32,67079
 187,73;  265,472;  235,102;  356,651;24,98593
 188,33;  272,610;  242,097;  355,217;26,97378
 188,93;  278,523;  252,084;  372,324;21,98822
 189,53;  288,702;  250,458;  375,462;30,59443
 190,13;  328,392;  288,441;  393,447;38,04636
 190,73;  251,472;  221,607;  354,699;22,43930
 191,34;  300,022;  261,772;  383,107;31,52433
 191,94;  267,063;  243,170;  355,212;21,32490
 192,54;  288,484;  244,657;  378,976;32,62892
 193,14;  283,539;  261,650;  386,945;17,46997
 193,74;  292,210;  256,803;  371,292;30,92620
 194,34;  285,433;  254,345;  379,723;24,79569
 194,94;  246,859;  215,650;  345,606;24,01464
 195,54;  236,449;  198,339;  325,621;29,94140
 196,14;  256,832;  226,731;  350,792;24,26327
 196,74;  252,556;  216,030;  338,690;29,77822
 197,34;  223,746;  203,967;  338,400;14,71299
 197,94;  265,980;  224,267;  375,503;27,58165
 198,54;  264,739;  232,346;  384,669;21,26585
 199,14;  241,279;  223,046;  367,104;12,65605
