
Integration time [ms]: 120,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  205,711;  198,725;  209,729;63,48786
 176,32;  224,069;  233,791;  221,495; 0,00000
 176,92;  260,500;  251,952;  246,144; 0,00000
 177,52;  247,446;  249,569;  261,381;-17,97016
 178,12;  231,111;  210,945;  220,620;208,43090
 178,72;  251,379;  248,635;  250,038;195,58594
 179,32;  254,967;  255,406;  241,911; 0,00000
 179,92;  249,263;  255,641;  248,129; 0,00000
 180,52;  243,232;  233,115;  240,492;137,13008
 181,12;  260,222;  249,103;  245,056; 0,00000
 181,73;  270,689;  265,873;  272,598;71,60970
 182,33;  346,662;  349,879;  341,303; 0,00000
 182,93;  267,962;  259,492;  262,580;274,23638
 183,53;  230,696;  241,402;  230,123; 0,00000
 184,13;  233,536;  231,942;  223,284; 0,00000
 184,73;  272,801;  262,785;  270,840;124,34843
 185,33;  257,857;  235,800;  340,235;21,12041
 185,93;  259,585;  233,331;  341,231;24,33193
 186,53;  278,934;  252,412;  358,480;25,00424
 187,13;  300,988;  259,651;  408,456;27,77915
 187,73;  269,152;  235,102;  356,651;28,01361
 188,33;  262,858;  242,097;  355,217;18,35295
 188,93;  290,330;  252,084;  372,324;31,80839
 189,53;  279,964;  250,458;  375,462;23,60420
 190,13;  312,764;  288,441;  393,447;23,16304
 190,73;  255,722;  221,607;  354,699;25,63247
 191,34;  289,081;  261,772;  383,107;22,50738
 191,94;  269,956;  243,170;  355,212;23,90734
 192,54;  285,140;  244,657;  378,976;30,13897
 193,14;  294,082;  261,650;  386,945;25,88394
 193,74;  283,266;  256,803;  371,292;23,11447
 194,34;  287,632;  254,345;  379,723;26,54930
 194,94;  253,828;  215,650;  345,606;29,37780
 195,54;  229,106;  198,339;  325,621;24,17201
 196,14;  255,747;  226,731;  350,792;23,38865
 196,74;  240,171;  216,030;  338,690;19,68169
 197,34;  242,588;  203,967;  338,400;28,72883
 197,94;  260,060;  224,267;  375,503;23,66710
 198,54;  270,184;  232,346;  384,669;24,84043
 199,14;  242,297;  223,046;  367,104;13,36325
