
Integration time [ms]: 120,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  201,106;  198,725;  209,729;21,63852
 176,32;  220,466;  233,791;  221,495; 0,00000
 176,92;  249,730;  251,952;  246,144; 0,00000
 177,52;  255,796;  249,569;  261,381;52,71628
 178,12;  240,453;  210,945;  220,620;304,98302
 178,72;  255,976;  248,635;  250,038;523,07623
 179,32;  265,991;  255,406;  241,911; 0,00000
 179,92;  250,650;  255,641;  248,129; 0,00000
 180,52;  249,509;  233,115;  240,492;222,22124
 181,12;  249,368;  249,103;  245,056; 0,00000
 181,73;  267,151;  265,873;  272,598;19,00297
 182,33;  344,479;  349,879;  341,303; 0,00000
 182,93;  272,283;  259,492;  262,580;414,12356
 183,53;  237,730;  241,402;  230,123; 0,00000
 184,13;  237,706;  231,942;  223,284; 0,00000
 184,73;  272,113;  262,785;  270,840;115,80733
 185,33;  261,249;  235,800;  340,235;24,36789
 185,93;  261,369;  233,331;  341,231;25,98455
 186,53;  278,630;  252,412;  358,480;24,71740
 187,13;  301,408;  259,651;  408,456;28,06141
 187,73;  268,588;  235,102;  356,651;27,54932
 188,33;  272,198;  242,097;  355,217;26,60993
 188,93;  276,542;  252,084;  372,324;20,34117
 189,53;  277,774;  250,458;  375,462;21,85217
 190,13;  310,127;  288,441;  393,447;20,65203
 190,73;  245,050;  221,607;  354,699;17,61452
 191,34;  293,640;  261,772;  383,107;26,26470
 191,94;  266,155;  243,170;  355,212;20,51472
 192,54;  281,056;  244,657;  378,976;27,09863
 193,14;  286,061;  261,650;  386,945;19,48251
 193,74;  281,636;  256,803;  371,292;21,69058
 194,34;  269,473;  254,345;  379,723;12,06646
 194,94;  243,933;  215,650;  345,606;21,76306
 195,54;  230,608;  198,339;  325,621;25,35240
 196,14;  245,091;  226,731;  350,792;14,79888
 196,74;  241,888;  216,030;  338,690;21,08149
 197,34;  226,071;  203,967;  338,400;16,44232
 197,94;  253,254;  224,267;  375,503;19,16704
 198,54;  245,232;  232,346;  384,669; 8,45922
 199,14;  243,266;  223,046;  367,104;14,03573
