
Integration time [ms]: 120,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  198,871;  198,725;  209,729; 1,33150
 176,32;  228,427;  233,791;  221,495; 0,00000
 176,92;  251,893;  251,952;  246,144; 0,00000
 177,52;  264,031;  249,569;  261,381;122,43005
 178,12;  232,567;  210,945;  220,620;223,47201
 178,72;  261,870;  248,635;  250,038;943,06599
 179,32;  256,568;  255,406;  241,911; 0,00000
 179,92;  246,903;  255,641;  248,129; 0,00000
 180,52;  252,330;  233,115;  240,492;260,45002
 181,12;  254,849;  249,103;  245,056; 0,00000
 181,73;  273,321;  265,873;  272,598;110,74419
 182,33;  340,548;  349,879;  341,303; 0,00000
 182,93;  272,134;  259,492;  262,580;409,29235
 183,53;  242,169;  241,402;  230,123; 0,00000
 184,13;  241,370;  231,942;  223,284; 0,00000
 184,73;  276,788;  262,785;  270,840;173,84854
 185,33;  263,246;  235,800;  340,235;26,27977
 185,93;  262,164;  233,331;  341,231;26,72215
 186,53;  287,948;  252,412;  358,480;33,50263
 187,13;  302,617;  259,651;  408,456;28,87395
 187,73;  270,303;  235,102;  356,651;28,96003
 188,33;  264,161;  242,097;  355,217;19,50424
 188,93;  275,635;  252,084;  372,324;19,58647
 189,53;  285,831;  250,458;  375,462;28,29718
 190,13;  308,635;  288,441;  393,447;19,23079
 190,73;  245,513;  221,607;  354,699;17,96193
 191,34;  285,595;  261,772;  383,107;19,63354
 191,94;  256,058;  243,170;  355,212;11,50296
 192,54;  292,549;  244,657;  378,976;35,65510
 193,14;  284,965;  261,650;  386,945;18,60814
 193,74;  279,085;  256,803;  371,292;19,46207
 194,34;  283,140;  254,345;  379,723;22,96664
 194,94;  245,991;  215,650;  345,606;23,34736
 195,54;  221,219;  198,339;  325,621;17,97555
 196,14;  258,519;  226,731;  350,792;25,62312
 196,74;  250,429;  216,030;  338,690;28,04458
 197,34;  232,018;  203,967;  338,400;20,86634
 197,94;  266,463;  224,267;  375,503;27,90053
 198,54;  257,891;  232,346;  384,669;16,77026
 199,14;  240,818;  223,046;  367,104;12,33628
