
Integration time [ms]: 150,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  225,458;  213,942;  232,391;62,41997
 176,32;  238,275;  248,562;  239,245; 0,00000
 176,92;  282,673;  283,713;  284,805;-95,17986
 177,52;  276,595;  263,481;  288,463;52,49213
 178,12;  255,035;  258,638;  259,823;-304,10149
 178,72;  276,535;  287,793;  280,469; 0,00000
 179,32;  268,800;  285,408;  267,745; 0,00000
 179,92;  273,490;  275,791;  268,795; 0,00000
 180,52;  255,981;  256,325;  272,061;-2,18146
 181,12;  278,291;  274,252;  289,721;26,11266
 181,73;  296,697;  302,098;  302,762; 0,00000
 182,33;  418,224;  411,173;  406,971; 0,00000
 182,93;  292,080;  293,097;  294,847;-58,08287
 183,53;  264,201;  259,948;  249,810; 0,00000
 184,13;  245,342;  259,332;  248,661; 0,00000
 184,73;  310,958;  314,025;  313,345; 0,00000
 185,33;  281,081;  254,895;  344,858;29,10699
 185,93;  290,296;  268,436;  359,913;23,89636
 186,53;  304,896;  274,666;  381,617;28,26521
 187,13;  322,198;  285,970;  414,333;28,22318
 187,73;  280,600;  262,974;  373,416;15,95939
 188,33;  283,794;  249,284;  379,789;26,44374
 188,93;  299,803;  282,673;  384,519;16,81942
 189,53;  303,110;  265,370;  380,835;32,68517
 190,13;  337,795;  301,453;  437,825;26,64934
 190,73;  276,037;  245,679;  384,820;21,81790
 191,34;  321,795;  279,444;  409,815;32,48452
 191,94;  283,177;  263,439;  370,276;18,47511
 192,54;  299,431;  255,737;  399,966;30,29472
 193,14;  314,845;  288,047;  387,600;26,91834
 193,74;  301,025;  296,202;  379,404; 5,79708
 194,34;  297,656;  272,354;  392,221;21,10850
 194,94;  263,947;  250,278;  345,600;14,33928
 195,54;  238,904;  229,741;  336,398; 8,59144
 196,14;  268,518;  246,661;  343,765;22,50876
 196,74;  270,170;  250,434;  354,623;18,94266
 197,34;  242,998;  216,429;  347,856;20,21597
 197,94;  282,508;  241,201;  367,795;32,62943
 198,54;  283,351;  253,200;  382,880;23,25051
 199,14;  243,907;  227,043;  362,749;12,42679
