
Integration time [ms]: 150,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  218,227;  211,210;  219,839;81,31857
 176,32;  247,032;  238,359;  235,111; 0,00000
 176,92;  289,095;  280,286;  286,352;145,22124
 177,52;  278,323;  274,209;  278,215;102,70235
 178,12;  254,354;  249,436;  251,705;216,73756
 178,72;  283,836;  281,973;  260,310; 0,00000
 179,32;  272,863;  265,128;  266,225;705,44649
 179,92;  277,255;  265,515;  265,978; 0,00000
 180,52;  253,232;  258,367;  268,579;-50,27422
 181,12;  278,100;  269,207;  271,317;421,43837
 181,73;  297,175;  284,362;  283,857; 0,00000
 182,33;  407,210;  386,749;  405,616;108,44706
 182,93;  292,724;  289,440;  290,593;284,69792
 183,53;  252,255;  265,665;  248,819; 0,00000
 184,13;  262,406;  259,589;  248,344; 0,00000
 184,73;  302,088;  299,126;  294,762; 0,00000
 185,33;  268,865;  254,019;  345,473;16,23296
 185,93;  279,171;  260,862;  362,838;17,95474
 186,53;  299,164;  260,325;  382,013;31,91664
 187,13;  321,179;  285,483;  415,827;27,38624
 187,73;  289,769;  255,016;  363,692;31,97888
 188,33;  294,639;  250,245;  375,280;35,50516
 188,93;  305,079;  269,008;  378,002;33,09484
 189,53;  297,852;  267,003;  398,671;23,42982
 190,13;  349,007;  304,302;  434,752;34,26937
 190,73;  279,924;  237,231;  368,824;32,44328
 191,34;  317,687;  272,390;  406,065;33,88546
 191,94;  292,601;  248,550;  376,661;34,38476
 192,54;  302,537;  272,409;  385,011;26,75655
 193,14;  310,781;  275,560;  397,986;28,76929
 193,74;  304,107;  282,328;  382,193;21,80783
 194,34;  303,393;  268,176;  385,065;30,12834
 194,94;  266,104;  246,636;  342,210;20,36926
 195,54;  243,787;  219,250;  332,873;21,59513
 196,14;  266,897;  239,407;  348,372;25,22799
 196,74;  258,021;  234,480;  340,255;22,25602
 197,34;  235,672;  201,564;  336,743;25,23232
 197,94;  264,964;  243,483;  374,221;16,43012
 198,54;  279,959;  249,254;  377,640;23,91618
 199,14;  261,744;  221,411;  366,592;27,78116
