
Integration time [ms]: 150,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  219,367;  224,973;  232,391;-75,56566
 176,32;  241,105;  240,735;  239,245; 0,00000
 176,92;  290,404;  291,355;  284,805; 0,00000
 177,52;  266,258;  271,741;  288,463;-32,78876
 178,12;  263,945;  266,428;  259,823; 0,00000
 178,72;  291,962;  286,502;  280,469; 0,00000
 179,32;  275,476;  275,812;  267,745; 0,00000
 179,92;  275,350;  285,891;  268,795; 0,00000
 180,52;  266,470;  252,746;  272,061;71,05058
 181,12;  273,772;  280,738;  289,721;-77,54953
 181,73;  301,954;  300,046;  302,762;70,24317
 182,33;  420,217;  409,820;  406,971; 0,00000
 182,93;  296,666;  289,894;  294,847;136,72812
 183,53;  258,308;  255,809;  249,810; 0,00000
 184,13;  262,614;  257,656;  248,661; 0,00000
 184,73;  303,748;  305,962;  313,345;-29,98459
 185,33;  263,106;  255,305;  344,858; 8,71067
 185,93;  296,189;  266,916;  359,913;31,47699
 186,53;  299,972;  267,842;  381,617;28,24018
 187,13;  331,335;  292,770;  414,333;31,72414
 187,73;  277,808;  273,916;  373,416; 3,91151
 188,33;  292,817;  268,221;  379,789;22,04595
 188,93;  300,496;  273,674;  384,519;24,19772
 189,53;  303,111;  278,744;  380,835;23,86760
 190,13;  334,287;  295,810;  437,825;27,09404
 190,73;  262,075;  249,202;  384,820; 9,49224
 191,34;  306,381;  273,825;  409,815;23,94022
 191,94;  286,937;  252,218;  370,276;29,40791
 192,54;  300,997;  279,620;  399,966;17,76249
 193,14;  306,053;  289,000;  387,600;17,29503
 193,74;  306,222;  287,461;  379,404;20,40550
 194,34;  299,339;  281,078;  392,221;16,43018
 194,94;  258,076;  248,923;  345,600; 9,46783
 195,54;  238,548;  215,844;  336,398;18,83294
 196,14;  254,829;  243,772;  343,765;11,05836
 196,74;  256,723;  238,843;  354,623;15,44337
 197,34;  237,346;  219,852;  347,856;13,66690
 197,94;  268,492;  239,155;  367,795;22,80581
 198,54;  284,355;  252,772;  382,880;24,27417
 199,14;  239,122;  229,623;  362,749; 7,13500
