
Integration time [ms]: 150,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  221,887;  211,210;  219,839;123,73153
 176,32;  244,723;  238,359;  235,111; 0,00000
 176,92;  291,155;  280,286;  286,352;179,17919
 177,52;  273,254;  274,209;  278,215;-23,85644
 178,12;  249,899;  249,436;  251,705;20,39464
 178,72;  284,865;  281,973;  260,310; 0,00000
 179,32;  270,630;  265,128;  266,225;501,80218
 179,92;  262,945;  265,515;  265,978; 0,00000
 180,52;  258,227;  258,367;  268,579;-1,36496
 181,12;  274,804;  269,207;  271,317;265,22561
 181,73;  290,896;  284,362;  283,857; 0,00000
 182,33;  394,582;  386,749;  405,616;41,51678
 182,93;  290,343;  289,440;  290,593;78,33272
 183,53;  255,561;  265,665;  248,819; 0,00000
 184,13;  261,663;  259,589;  248,344; 0,00000
 184,73;  297,831;  299,126;  294,762; 0,00000
 185,33;  267,523;  254,019;  345,473;14,76615
 185,93;  294,688;  260,862;  362,838;33,17036
 186,53;  304,910;  260,325;  382,013;36,63865
 187,13;  325,002;  285,483;  415,827;30,31886
 187,73;  289,767;  255,016;  363,692;31,97689
 188,33;  291,789;  250,245;  375,280;33,22569
 188,93;  299,052;  269,008;  378,002;27,56486
 189,53;  296,477;  267,003;  398,671;22,38529
 190,13;  345,470;  304,302;  434,752;31,55791
 190,73;  277,756;  237,231;  368,824;30,79543
 191,34;  321,048;  272,390;  406,065;36,39974
 191,94;  286,743;  248,550;  376,661;29,81202
 192,54;  316,396;  272,409;  385,011;39,06438
 193,14;  314,820;  275,560;  397,986;32,06823
 193,74;  306,426;  282,328;  382,193;24,13049
 194,34;  299,774;  268,176;  385,065;27,03226
 194,94;  260,371;  246,636;  342,210;14,37053
 195,54;  236,914;  219,250;  332,873;15,54619
 196,14;  266,081;  239,407;  348,372;24,47855
 196,74;  257,191;  234,480;  340,255;21,47075
 197,34;  236,719;  201,564;  336,743;26,00651
 197,94;  272,559;  243,483;  374,221;22,24012
 198,54;  286,680;  249,254;  377,640;29,15127
 199,14;  259,535;  221,411;  366,592;26,25937
