
Integration time [ms]: 150,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  229,931;  213,942;  232,391;86,66185
 176,32;  242,532;  248,562;  239,245; 0,00000
 176,92;  291,428;  283,713;  284,805;706,35158
 177,52;  272,406;  263,481;  288,463;35,72687
 178,12;  258,209;  258,638;  259,823;-36,23199
 178,72;  282,217;  287,793;  280,469; 0,00000
 179,32;  272,751;  285,408;  267,745; 0,00000
 179,92;  271,144;  275,791;  268,795; 0,00000
 180,52;  261,442;  256,325;  272,061;32,51900
 181,12;  271,934;  274,252;  289,721;-14,98541
 181,73;  298,094;  302,098;  302,762; 0,00000
 182,33;  407,833;  411,173;  406,971; 0,00000
 182,93;  291,048;  293,097;  294,847;-117,05481
 183,53;  256,523;  259,948;  249,810; 0,00000
 184,13;  251,256;  259,332;  248,661; 0,00000
 184,73;  310,148;  314,025;  313,345; 0,00000
 185,33;  294,720;  254,895;  344,858;44,26798
 185,93;  287,210;  268,436;  359,913;20,52300
 186,53;  304,899;  274,666;  381,617;28,26838
 187,13;  332,148;  285,970;  414,333;35,97459
 187,73;  288,036;  262,974;  373,416;22,69195
 188,33;  292,989;  249,284;  379,789;33,48931
 188,93;  298,445;  282,673;  384,519;15,48575
 189,53;  301,070;  265,370;  380,835;30,91891
 190,13;  337,101;  301,453;  437,825;26,14035
 190,73;  288,083;  245,679;  384,820;30,47558
 191,34;  302,960;  279,444;  409,815;18,03770
 191,94;  297,214;  263,439;  370,276;31,61322
 192,54;  297,669;  255,737;  399,966;29,07322
 193,14;  315,731;  288,047;  387,600;27,80768
 193,74;  316,856;  296,202;  379,404;24,82466
 194,34;  303,282;  272,354;  392,221;25,80141
 194,94;  273,757;  250,278;  345,600;24,63157
 195,54;  247,384;  229,741;  336,398;16,54180
 196,14;  276,807;  246,661;  343,765;31,04539
 196,74;  267,372;  250,434;  354,623;16,25647
 197,34;  235,900;  216,429;  347,856;14,81510
 197,94;  277,454;  241,201;  367,795;28,63750
 198,54;  292,256;  253,200;  382,880;30,11765
 199,14;  261,303;  227,043;  362,749;25,24588
