
Integration time [ms]: 150,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  215,833;  211,210;  219,839;53,57082
 176,32;  243,764;  238,359;  235,111; 0,00000
 176,92;  278,568;  280,286;  286,352;-28,30788
 177,52;  281,730;  274,209;  278,215;187,75300
 178,12;  255,325;  249,436;  251,705;259,50899
 178,72;  285,381;  281,973;  260,310; 0,00000
 179,32;  254,601;  265,128;  266,225;-960,18085
 179,92;  259,141;  265,515;  265,978; 0,00000
 180,52;  260,426;  258,367;  268,579;20,16537
 181,12;  276,475;  269,207;  271,317;344,44621
 181,73;  295,393;  284,362;  283,857; 0,00000
 182,33;  394,248;  386,749;  405,616;39,74785
 182,93;  286,387;  289,440;  290,593;-264,73786
 183,53;  259,685;  265,665;  248,819; 0,00000
 184,13;  260,277;  259,589;  248,344; 0,00000
 184,73;  305,822;  299,126;  294,762; 0,00000
 185,33;  272,800;  254,019;  345,473;20,53549
 185,93;  276,864;  260,862;  362,838;15,69223
 186,53;  288,780;  260,325;  382,013;23,38321
 187,13;  309,090;  285,483;  415,827;18,11162
 187,73;  284,203;  255,016;  363,692;26,85661
 188,33;  273,713;  250,245;  375,280;18,76890
 188,93;  299,392;  269,008;  378,002;27,87703
 189,53;  287,241;  267,003;  398,671;15,37092
 190,13;  319,272;  304,302;  434,752;11,47521
 190,73;  269,463;  237,231;  368,824;24,49343
 191,34;  297,128;  272,390;  406,065;18,50591
 191,94;  272,218;  248,550;  376,661;18,47442
 192,54;  288,801;  272,409;  385,011;14,55746
 193,14;  309,824;  275,560;  397,986;27,98781
 193,74;  301,626;  282,328;  382,193;19,32394
 194,34;  299,583;  268,176;  385,065;26,86897
 194,94;  262,096;  246,636;  342,210;16,17513
 195,54;  240,813;  219,250;  332,873;18,97747
 196,14;  256,785;  239,407;  348,372;15,94799
 196,74;  264,131;  234,480;  340,255;28,03205
 197,34;  245,012;  201,564;  336,743;32,14157
 197,94;  268,606;  243,483;  374,221;19,21627
 198,54;  281,161;  249,254;  377,640;24,85244
 199,14;  256,458;  221,411;  366,592;24,14020
