
Integration time [ms]: 150,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  216,227;  218,899;  219,839; 0,00000
 176,32;  234,155;  243,739;  235,111; 0,00000
 176,92;  282,068;  284,051;  286,352;-86,19977
 177,52;  274,019;  275,821;  278,215;-75,31108
 178,12;  263,875;  251,662;  251,705; 0,00000
 178,72;  287,427;  275,891;  260,310; 0,00000
 179,32;  278,607;  279,354;  266,225; 0,00000
 179,92;  276,669;  267,434;  265,978; 0,00000
 180,52;  261,672;  255,749;  268,579;46,16539
 181,12;  282,245;  282,434;  271,317; 0,00000
 181,73;  305,099;  295,435;  283,857; 0,00000
 182,33;  424,966;  395,362;  405,616;288,69789
 182,93;  293,365;  289,821;  290,593; 0,00000
 183,53;  254,862;  256,352;  248,819; 0,00000
 184,13;  253,168;  261,199;  248,344; 0,00000
 184,73;  315,056;  306,659;  294,762; 0,00000
 185,33;  280,193;  245,928;  345,473;34,42196
 185,93;  287,145;  248,154;  362,838;33,99900
 186,53;  303,121;  269,003;  382,013;30,19046
 187,13;  316,553;  285,777;  415,827;23,66450
 187,73;  273,731;  248,924;  363,692;21,61461
 188,33;  288,255;  247,383;  375,280;31,95727
 188,93;  294,734;  267,913;  378,002;24,36312
 189,53;  301,046;  258,137;  398,671;30,53235
 190,13;  331,904;  293,281;  434,752;27,30091
 190,73;  273,803;  232,673;  368,824;30,20910
 191,34;  312,643;  268,603;  406,065;32,03814
 191,94;  284,001;  247,149;  376,661;28,45463
 192,54;  298,276;  267,627;  385,011;26,10987
 193,14;  301,198;  277,854;  397,986;19,43226
 193,74;  305,133;  285,314;  382,193;20,45679
 194,34;  291,907;  275,316;  385,065;15,11713
 194,94;  267,160;  236,392;  342,210;29,07603
 195,54;  245,674;  212,621;  332,873;27,48629
 196,14;  262,443;  239,317;  348,372;21,20580
 196,74;  271,503;  238,543;  340,255;32,40532
 197,34;  229,360;  203,936;  336,743;19,14373
 197,94;  275,533;  244,777;  374,221;23,76010
 198,54;  280,203;  252,625;  377,640;22,05974
 199,14;  243,231;  218,630;  366,592;16,62688
