
Integration time [ms]: 150,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  222,466;  213,942;  232,391;46,20340
 176,32;  249,826;  248,562;  239,245; 0,00000
 176,92;  285,931;  283,713;  284,805;203,11569
 177,52;  284,002;  263,481;  288,463;82,14323
 178,12;  248,921;  258,638;  259,823;-820,08716
 178,72;  288,164;  287,793;  280,469; 0,00000
 179,32;  283,356;  285,408;  267,745; 0,00000
 179,92;  278,080;  275,791;  268,795; 0,00000
 180,52;  257,689;  256,325;  272,061; 8,66712
 181,12;  281,406;  274,252;  289,721;46,24833
 181,73;  297,237;  302,098;  302,762; 0,00000
 182,33;  402,408;  411,173;  406,971; 0,00000
 182,93;  297,813;  293,097;  294,847;269,53424
 183,53;  251,102;  259,948;  249,810; 0,00000
 184,13;  268,061;  259,332;  248,661; 0,00000
 184,73;  313,100;  314,025;  313,345; 0,00000
 185,33;  280,397;  254,895;  344,858;28,34760
 185,93;  279,010;  268,436;  359,913;11,55846
 186,53;  298,033;  274,666;  381,617;21,84858
 187,13;  329,481;  285,970;  414,333;33,89709
 187,73;  283,182;  262,974;  373,416;18,29726
 188,33;  280,355;  249,284;  379,789;23,80870
 188,93;  304,651;  282,673;  384,519;21,57892
 189,53;  292,925;  265,370;  380,835;23,86476
 190,13;  331,070;  301,453;  437,825;21,71797
 190,73;  270,131;  245,679;  384,820;17,57307
 191,34;  304,200;  279,444;  409,815;18,98885
 191,94;  286,451;  263,439;  370,276;21,53907
 192,54;  290,739;  255,737;  399,966;24,26807
 193,14;  311,147;  288,047;  387,600;23,20336
 193,74;  304,888;  296,202;  379,404;10,44037
 194,34;  301,269;  272,354;  392,221;24,12275
 194,94;  268,036;  250,278;  345,600;18,62899
 195,54;  245,945;  229,741;  336,398;15,19266
 196,14;  261,990;  246,661;  343,765;15,78608
 196,74;  259,130;  250,434;  354,623; 8,34654
 197,34;  232,776;  216,429;  347,856;12,43803
 197,94;  279,610;  241,201;  367,795;30,34033
 198,54;  276,058;  253,200;  382,880;17,62695
 199,14;  254,575;  227,043;  362,749;20,28786
