
Integration time [ms]: 150,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  218,405;  198,103;  193,484; 0,00000
 176,32;  243,769;  234,943;  221,613; 0,00000
 176,92;  269,256;  269,024;  238,591; 0,00000
 177,52;  262,678;  269,794;  248,001; 0,00000
 178,12;  254,594;  249,174;  215,364; 0,00000
 178,72;  278,411;  271,404;  246,874; 0,00000
 179,32;  268,064;  266,790;  239,650; 0,00000
 179,92;  264,633;  266,022;  239,043; 0,00000
 180,52;  262,456;  247,567;  250,796;461,13333
 181,12;  274,335;  256,484;  235,695; 0,00000
 181,73;  282,329;  288,408;  270,933; 0,00000
 182,33;  380,447;  373,488;  327,421; 0,00000
 182,93;  284,091;  271,640;  255,301; 0,00000
 183,53;  247,354;  237,864;  228,835; 0,00000
 184,13;  251,990;  259,557;  218,138; 0,00000
 184,73;  287,074;  283,402;  251,462; 0,00000
 185,33;  267,498;  246,293;  315,949;30,44288
 185,93;  279,862;  238,827;  337,037;41,78270
 186,53;  282,880;  250,137;  346,852;33,85491
 187,13;  315,863;  279,372;  376,947;37,39747
 187,73;  279,288;  248,828;  335,898;34,98416
 188,33;  280,453;  243,287;  330,691;42,52227
 188,93;  289,634;  254,203;  363,946;32,28532
 189,53;  290,940;  252,428;  366,168;33,85983
 190,13;  326,510;  288,727;  404,992;32,49725
 190,73;  264,181;  228,041;  348,595;29,97823
 191,34;  301,203;  268,432;  370,908;31,97923
 191,94;  272,817;  243,516;  324,660;36,11042
 192,54;  292,839;  255,375;  353,399;38,21918
 193,14;  294,302;  266,756;  363,717;28,40916
 193,74;  303,063;  257,909;  345,454;51,57771
 194,34;  285,828;  259,757;  344,192;30,87622
 194,94;  263,331;  226,141;  328,402;36,36757
 195,54;  246,850;  216,908;  304,045;34,36138
 196,14;  254,252;  233,989;  327,818;21,59592
 196,74;  256,555;  229,830;  316,800;30,72831
 197,34;  234,814;  201,222;  323,526;27,46583
 197,94;  257,935;  236,295;  331,112;22,82272
 198,54;  273,163;  240,220;  346,393;31,02806
 199,14;  245,487;  212,608;  351,854;23,61192
