
Integration time [ms]: 150,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  222,656;  213,942;  232,391;47,22936
 176,32;  242,122;  248,562;  239,245; 0,00000
 176,92;  288,792;  283,713;  284,805;465,00471
 177,52;  275,006;  263,481;  288,463;46,13116
 178,12;  257,824;  258,638;  259,823;-68,69558
 178,72;  289,187;  287,793;  280,469; 0,00000
 179,32;  268,646;  285,408;  267,745; 0,00000
 179,92;  276,529;  275,791;  268,795; 0,00000
 180,52;  262,288;  256,325;  272,061;37,89691
 181,12;  276,750;  274,252;  289,721;16,14776
 181,73;  294,199;  302,098;  302,762; 0,00000
 182,33;  410,549;  411,173;  406,971; 0,00000
 182,93;  290,254;  293,097;  294,847;-162,47558
 183,53;  257,546;  259,948;  249,810; 0,00000
 184,13;  257,834;  259,332;  248,661; 0,00000
 184,73;  315,164;  314,025;  313,345; 0,00000
 185,33;  271,353;  254,895;  344,858;18,29412
 185,93;  281,363;  268,436;  359,913;14,13096
 186,53;  309,847;  274,666;  381,617;32,89447
 187,13;  320,844;  285,970;  414,333;27,16836
 187,73;  294,102;  262,974;  373,416;28,18490
 188,33;  299,482;  249,284;  379,789;38,46462
 188,93;  290,157;  282,673;  384,519; 7,34791
 189,53;  287,896;  265,370;  380,835;19,50949
 190,13;  326,554;  301,453;  437,825;18,40625
 190,73;  271,954;  245,679;  384,820;18,88316
 191,34;  306,810;  279,444;  409,815;20,99038
 191,94;  280,112;  263,439;  370,276;15,60613
 192,54;  299,517;  255,737;  399,966;30,35427
 193,14;  311,455;  288,047;  387,600;23,51248
 193,74;  298,259;  296,202;  379,404; 2,47222
 194,34;  304,199;  272,354;  392,221;26,56685
 194,94;  267,934;  250,278;  345,600;18,52196
 195,54;  231,502;  229,741;  336,398; 1,65096
 196,14;  268,298;  246,661;  343,765;22,28250
 196,74;  263,681;  250,434;  354,623;12,71390
 197,34;  238,477;  216,429;  347,856;16,77609
 197,94;  269,626;  241,201;  367,795;22,45364
 198,54;  284,130;  253,200;  382,880;23,85087
 199,14;  249,748;  227,043;  362,749;16,73070
