
Integration time [ms]: 150,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  220,931;  224,973;  232,391;-54,48676
 176,32;  241,050;  240,735;  239,245; 0,00000
 176,92;  279,227;  291,355;  284,805; 0,00000
 177,52;  272,177;  271,741;  288,463; 2,60759
 178,12;  249,973;  266,428;  259,823; 0,00000
 178,72;  282,177;  286,502;  280,469; 0,00000
 179,32;  281,728;  275,812;  267,745; 0,00000
 179,92;  272,893;  285,891;  268,795; 0,00000
 180,52;  263,270;  252,746;  272,061;54,48330
 181,12;  277,095;  280,738;  289,721;-40,55288
 181,73;  293,137;  300,046;  302,762;-254,46721
 182,33;  397,259;  409,820;  406,971; 0,00000
 182,93;  293,121;  289,894;  294,847;65,15007
 183,53;  262,962;  255,809;  249,810; 0,00000
 184,13;  251,982;  257,656;  248,661; 0,00000
 184,73;  318,536;  305,962;  313,345;170,31019
 185,33;  281,515;  255,305;  344,858;29,26731
 185,93;  281,870;  266,916;  359,913;16,08021
 186,53;  310,790;  267,842;  381,617;37,74858
 187,13;  319,813;  292,770;  414,333;22,24574
 187,73;  297,813;  273,916;  373,416;24,01692
 188,33;  289,991;  268,221;  379,789;19,51249
 188,93;  309,161;  273,674;  384,519;32,01509
 189,53;  288,392;  278,744;  380,835; 9,45031
 190,13;  334,781;  295,810;  437,825;27,44160
 190,73;  279,969;  249,202;  384,820;22,68660
 191,34;  319,835;  273,825;  409,815;33,83323
 191,94;  278,658;  252,218;  370,276;22,39591
 192,54;  305,256;  279,620;  399,966;21,30185
 193,14;  309,981;  289,000;  387,600;21,27865
 193,74;  311,590;  287,461;  379,404;26,24403
 194,34;  298,679;  281,078;  392,221;15,83610
 194,94;  268,310;  248,923;  345,600;20,05298
 195,54;  246,193;  215,844;  336,398;25,17474
 196,14;  273,042;  243,772;  343,765;29,27175
 196,74;  266,726;  238,843;  354,623;24,08269
 197,34;  248,633;  219,852;  347,856;22,48397
 197,94;  271,204;  239,155;  367,795;24,91385
 198,54;  292,643;  252,772;  382,880;30,64459
 199,14;  257,603;  229,623;  362,749;21,01735
