
Integration time [ms]: 150,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  210,150;  198,103;  193,484; 0,00000
 176,32;  228,395;  234,943;  221,613; 0,00000
 176,92;  262,237;  269,024;  238,591; 0,00000
 177,52;  267,505;  269,794;  248,001; 0,00000
 178,12;  237,326;  249,174;  215,364; 0,00000
 178,72;  275,951;  271,404;  246,874; 0,00000
 179,32;  257,157;  266,790;  239,650; 0,00000
 179,92;  253,546;  266,022;  239,043; 0,00000
 180,52;  246,384;  247,567;  250,796;-36,63538
 181,12;  255,007;  256,484;  235,695; 0,00000
 181,73;  276,661;  288,408;  270,933; 0,00000
 182,33;  372,603;  373,488;  327,421; 0,00000
 182,93;  280,782;  271,640;  255,301; 0,00000
 183,53;  246,929;  237,864;  228,835; 0,00000
 184,13;  245,389;  259,557;  218,138; 0,00000
 184,73;  288,653;  283,402;  251,462; 0,00000
 185,33;  258,756;  246,293;  315,949;17,89203
 185,93;  262,407;  238,827;  337,037;24,00949
 186,53;  275,020;  250,137;  346,852;25,72770
 187,13;  307,030;  279,372;  376,947;28,34479
 187,73;  264,629;  248,828;  335,898;18,14813
 188,33;  267,063;  243,287;  330,691;27,20225
 188,93;  287,164;  254,203;  363,946;30,03479
 189,53;  274,779;  252,428;  366,168;19,65064
 190,13;  310,736;  288,727;  404,992;18,93000
 190,73;  255,659;  228,041;  348,595;22,90957
 191,34;  287,813;  268,432;  370,908;18,91291
 191,94;  259,274;  243,516;  324,660;19,41981
 192,54;  284,518;  255,375;  353,399;29,73025
 193,14;  285,407;  266,756;  363,717;19,23535
 193,74;  289,723;  257,909;  345,454;36,34036
 194,34;  280,406;  259,757;  344,192;24,45494
 194,94;  244,992;  226,141;  328,402;18,43407
 195,54;  238,986;  216,908;  304,045;25,33728
 196,14;  256,005;  233,989;  327,818;23,46363
 196,74;  238,372;  229,830;  316,800; 9,82147
 197,34;  220,124;  201,222;  323,526;15,45496
 197,94;  252,768;  236,295;  331,112;17,37309
 198,54;  267,997;  240,220;  346,393;26,16219
 199,14;  241,469;  212,608;  351,854;20,72608
