
Integration time [ms]: 150,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  208,679;  213,942;  232,391;-28,52786
 176,32;  242,301;  248,562;  239,245; 0,00000
 176,92;  278,674;  283,713;  284,805;-461,28648
 177,52;  283,635;  263,481;  288,463;80,67614
 178,12;  256,944;  258,638;  259,823;-143,01454
 178,72;  282,796;  287,793;  280,469; 0,00000
 179,32;  279,669;  285,408;  267,745; 0,00000
 179,92;  274,960;  275,791;  268,795; 0,00000
 180,52;  261,321;  256,325;  272,061;31,75182
 181,12;  267,366;  274,252;  289,721;-44,51440
 181,73;  308,394;  302,098;  302,762; 0,00000
 182,33;  422,772;  411,173;  406,971; 0,00000
 182,93;  301,108;  293,097;  294,847;457,78864
 183,53;  253,318;  259,948;  249,810; 0,00000
 184,13;  257,285;  259,332;  248,661; 0,00000
 184,73;  312,801;  314,025;  313,345; 0,00000
 185,33;  293,544;  254,895;  344,858;42,96034
 185,93;  284,610;  268,436;  359,913;17,68079
 186,53;  310,423;  274,666;  381,617;33,43323
 187,13;  316,466;  285,970;  414,333;23,75763
 187,73;  287,857;  262,974;  373,416;22,53033
 188,33;  294,056;  249,284;  379,789;34,30657
 188,93;  302,683;  282,673;  384,519;19,64715
 189,53;  313,975;  265,370;  380,835;42,09540
 190,13;  341,136;  301,453;  437,825;29,09928
 190,73;  291,108;  245,679;  384,820;32,64930
 191,34;  321,629;  279,444;  409,815;32,35718
 191,94;  290,721;  263,439;  370,276;25,53578
 192,54;  314,630;  255,737;  399,966;40,83323
 193,14;  311,120;  288,047;  387,600;23,17636
 193,74;  315,016;  296,202;  379,404;22,61253
 194,34;  294,944;  272,354;  392,221;18,84574
 194,94;  271,362;  250,278;  345,600;22,11846
 195,54;  240,631;  229,741;  336,398;10,21071
 196,14;  279,504;  246,661;  343,765;33,82279
 196,74;  275,038;  250,434;  354,623;23,61488
 197,34;  246,746;  216,429;  347,856;23,06749
 197,94;  278,180;  241,201;  367,795;29,21105
 198,54;  285,026;  253,200;  382,880;24,54235
 199,14;  269,674;  227,043;  362,749;31,41431
