
Integration time [ms]: 150,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  213,449;  198,103;  193,484; 0,00000
 176,32;  238,108;  234,943;  221,613; 0,00000
 176,92;  276,752;  269,024;  238,591; 0,00000
 177,52;  274,609;  269,794;  248,001; 0,00000
 178,12;  245,079;  249,174;  215,364; 0,00000
 178,72;  282,879;  271,404;  246,874; 0,00000
 179,32;  276,635;  266,790;  239,650; 0,00000
 179,92;  267,504;  266,022;  239,043; 0,00000
 180,52;  258,693;  247,567;  250,796;344,60574
 181,12;  279,269;  256,484;  235,695; 0,00000
 181,73;  297,859;  288,408;  270,933; 0,00000
 182,33;  402,931;  373,488;  327,421; 0,00000
 182,93;  291,563;  271,640;  255,301; 0,00000
 183,53;  252,316;  237,864;  228,835; 0,00000
 184,13;  254,229;  259,557;  218,138; 0,00000
 184,73;  291,602;  283,402;  251,462; 0,00000
 185,33;  267,989;  246,293;  315,949;31,14714
 185,93;  274,585;  238,827;  337,037;36,40966
 186,53;  291,135;  250,137;  346,852;42,39069
 187,13;  326,873;  279,372;  376,947;48,68184
 187,73;  281,913;  248,828;  335,898;37,99817
 188,33;  273,010;  243,287;  330,691;34,00614
 188,93;  291,853;  254,203;  363,946;34,30753
 189,53;  296,987;  252,428;  366,168;39,17632
 190,13;  327,210;  288,727;  404,992;33,09924
 190,73;  279,723;  228,041;  348,595;42,87026
 191,34;  301,656;  268,432;  370,908;32,42145
 191,94;  274,851;  243,516;  324,660;38,61722
 192,54;  300,033;  255,375;  353,399;45,55879
 193,14;  304,713;  266,756;  363,717;39,14676
 193,74;  292,888;  257,909;  345,454;39,95539
 194,34;  301,124;  259,757;  344,192;48,99258
 194,94;  255,822;  226,141;  328,402;29,02477
 195,54;  225,794;  216,908;  304,045;10,19754
 196,14;  261,512;  233,989;  327,818;29,33370
 196,74;  258,306;  229,830;  316,800;32,74229
 197,34;  234,202;  201,222;  323,526;26,96566
 197,94;  270,634;  236,295;  331,112;36,21543
 198,54;  280,501;  240,220;  346,393;37,93936
 199,14;  247,280;  212,608;  351,854;24,89968
