
Integration time [ms]: 150,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  216,535;  198,103;  193,484; 0,00000
 176,32;  237,908;  234,943;  221,613; 0,00000
 176,92;  270,714;  269,024;  238,591; 0,00000
 177,52;  277,987;  269,794;  248,001; 0,00000
 178,12;  235,682;  249,174;  215,364; 0,00000
 178,72;  269,389;  271,404;  246,874; 0,00000
 179,32;  266,201;  266,790;  239,650; 0,00000
 179,92;  262,724;  266,022;  239,043; 0,00000
 180,52;  236,557;  247,567;  250,796;-341,01067
 181,12;  279,474;  256,484;  235,695; 0,00000
 181,73;  283,680;  288,408;  270,933; 0,00000
 182,33;  391,491;  373,488;  327,421; 0,00000
 182,93;  285,468;  271,640;  255,301; 0,00000
 183,53;  251,769;  237,864;  228,835; 0,00000
 184,13;  258,500;  259,557;  218,138; 0,00000
 184,73;  300,327;  283,402;  251,462; 0,00000
 185,33;  260,161;  246,293;  315,949;19,90995
 185,93;  274,654;  238,827;  337,037;36,47947
 186,53;  288,932;  250,137;  346,852;40,11208
 187,13;  301,593;  279,372;  376,947;22,77293
 187,73;  278,072;  248,828;  335,898;33,58678
 188,33;  278,044;  243,287;  330,691;39,76591
 188,93;  297,817;  254,203;  363,946;39,74160
 189,53;  288,613;  252,428;  366,168;31,81356
 190,13;  332,334;  288,727;  404,992;37,50602
 190,73;  270,201;  228,041;  348,595;34,97176
 191,34;  306,828;  268,432;  370,908;37,46792
 191,94;  273,425;  243,516;  324,660;36,85955
 192,54;  290,033;  255,375;  353,399;35,35715
 193,14;  298,290;  266,756;  363,717;32,52233
 193,74;  295,959;  257,909;  345,454;43,46295
 194,34;  287,549;  259,757;  344,192;32,91529
 194,94;  263,079;  226,141;  328,402;36,12107
 195,54;  235,229;  216,908;  304,045;21,02484
 196,14;  253,395;  233,989;  327,818;20,68234
 196,74;  249,739;  229,830;  316,800;22,89105
 197,34;  226,355;  201,222;  323,526;20,54951
 197,94;  268,756;  236,295;  331,112;34,23546
 198,54;  272,611;  240,220;  346,393;30,50828
 199,14;  250,821;  212,608;  351,854;27,44235
