
Integration time [ms]: 150,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  225,468;  211,210;  219,839;165,22359
 176,32;  236,518;  238,359;  235,111; 0,00000
 176,92;  281,723;  280,286;  286,352;23,70264
 177,52;  268,896;  274,209;  278,215;-132,63984
 178,12;  248,299;  249,436;  251,705;-50,09265
 178,72;  286,692;  281,973;  260,310; 0,00000
 179,32;  258,181;  265,128;  266,225;-633,65097
 179,92;  266,489;  265,515;  265,978; 0,00000
 180,52;  262,324;  258,367;  268,579;38,74939
 181,12;  285,225;  269,207;  271,317;759,10441
 181,73;  293,106;  284,362;  283,857; 0,00000
 182,33;  413,312;  386,749;  405,616;140,78770
 182,93;  292,549;  289,440;  290,593;269,53794
 183,53;  252,056;  265,665;  248,819; 0,00000
 184,13;  256,990;  259,589;  248,344; 0,00000
 184,73;  308,085;  299,126;  294,762; 0,00000
 185,33;  278,054;  254,019;  345,473;26,28033
 185,93;  297,904;  260,862;  362,838;36,32449
 186,53;  307,721;  260,325;  382,013;38,94879
 187,13;  333,182;  285,483;  415,827;36,59498
 187,73;  293,594;  255,016;  363,692;35,49847
 188,33;  292,584;  250,245;  375,280;33,86183
 188,93;  298,873;  269,008;  378,002;27,40091
 189,53;  302,925;  267,003;  398,671;27,28269
 190,13;  346,086;  304,302;  434,752;32,03024
 190,73;  288,522;  237,231;  368,824;38,97728
 191,34;  325,557;  272,390;  406,065;39,77346
 191,94;  298,619;  248,550;  376,661;39,08261
 192,54;  318,956;  272,409;  385,011;41,33740
 193,14;  317,187;  275,560;  397,986;34,00164
 193,74;  310,975;  282,328;  382,193;28,68511
 194,34;  305,180;  268,176;  385,065;31,65761
 194,94;  264,455;  246,636;  342,210;18,64350
 195,54;  253,191;  219,250;  332,873;29,87117
 196,14;  268,808;  239,407;  348,372;26,98173
 196,74;  276,043;  234,480;  340,255;39,29375
 197,34;  252,766;  201,564;  336,743;37,87777
 197,94;  268,280;  243,483;  374,221;18,96691
 198,54;  287,010;  249,254;  377,640;29,40820
 199,14;  258,334;  221,411;  366,592;25,43217
