
Integration time [ms]: 150,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  225,354;  213,942;  232,391;61,85285
 176,32;  243,161;  248,562;  239,245; 0,00000
 176,92;  281,063;  283,713;  284,805;-242,58619
 177,52;  277,219;  263,481;  288,463;54,99028
 178,12;  241,667;  258,638;  259,823;-1432,19003
 178,72;  286,487;  287,793;  280,469; 0,00000
 179,32;  274,227;  285,408;  267,745; 0,00000
 179,92;  269,915;  275,791;  268,795; 0,00000
 180,52;  263,175;  256,325;  272,061;43,53293
 181,12;  275,905;  274,252;  289,721;10,68536
 181,73;  295,335;  302,098;  302,762; 0,00000
 182,33;  415,059;  411,173;  406,971; 0,00000
 182,93;  292,174;  293,097;  294,847;-52,71125
 183,53;  247,935;  259,948;  249,810; 0,00000
 184,13;  250,223;  259,332;  248,661; 0,00000
 184,73;  305,307;  314,025;  313,345; 0,00000
 185,33;  274,420;  254,895;  344,858;21,70363
 185,93;  286,222;  268,436;  359,913;19,44255
 186,53;  296,052;  274,666;  381,617;19,99653
 187,13;  319,812;  285,970;  414,333;26,36420
 187,73;  296,542;  262,974;  373,416;30,39399
 188,33;  291,129;  249,284;  379,789;32,06415
 188,93;  306,526;  282,673;  384,519;23,42011
 189,53;  300,037;  265,370;  380,835;30,02422
 190,13;  337,451;  301,453;  437,825;26,39686
 190,73;  282,502;  245,679;  384,820;26,46404
 191,34;  309,509;  279,444;  409,815;23,06077
 191,94;  287,078;  263,439;  370,276;22,12621
 192,54;  299,316;  255,737;  399,966;30,21499
 193,14;  306,503;  288,047;  387,600;18,53869
 193,74;  306,303;  296,202;  379,404;12,14081
 194,34;  303,517;  272,354;  392,221;25,99776
 194,94;  270,690;  250,278;  345,600;21,41336
 195,54;  245,377;  229,741;  336,398;14,66001
 196,14;  270,816;  246,661;  343,765;24,87565
 196,74;  268,363;  250,434;  354,623;17,20817
 197,34;  242,934;  216,429;  347,856;20,16730
 197,94;  268,494;  241,201;  367,795;21,55928
 198,54;  283,728;  253,200;  382,880;23,54149
 199,14;  258,301;  227,043;  362,749;23,03361
