
Integration time [ms]: 150,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  210,780;  211,210;  219,839;-4,98924
 176,32;  235,613;  238,359;  235,111; 0,00000
 176,92;  288,810;  280,286;  286,352;140,52936
 177,52;  281,914;  274,209;  278,215;192,34111
 178,12;  253,896;  249,436;  251,705;196,55926
 178,72;  279,352;  281,973;  260,310; 0,00000
 179,32;  276,447;  265,128;  266,225;1032,41811
 179,92;  270,675;  265,515;  265,978; 0,00000
 180,52;  258,247;  258,367;  268,579;-1,17116
 181,12;  279,295;  269,207;  271,317;478,09128
 181,73;  298,589;  284,362;  283,857; 0,00000
 182,33;  399,121;  386,749;  405,616;65,57150
 182,93;  294,406;  289,440;  290,593;430,52442
 183,53;  251,924;  265,665;  248,819; 0,00000
 184,13;  247,086;  259,589;  248,344; 0,00000
 184,73;  301,885;  299,126;  294,762; 0,00000
 185,33;  280,266;  254,019;  345,473;28,69927
 185,93;  274,613;  260,862;  362,838;13,48508
 186,53;  305,753;  260,325;  382,013;37,33121
 187,13;  314,055;  285,483;  415,827;21,92021
 187,73;  273,570;  255,016;  363,692;17,07239
 188,33;  277,768;  250,245;  375,280;22,01232
 188,93;  293,750;  269,008;  378,002;22,70006
 189,53;  285,677;  267,003;  398,671;14,18276
 190,13;  315,151;  304,302;  434,752; 8,31609
 190,73;  266,730;  237,231;  368,824;22,41682
 191,34;  299,196;  272,390;  406,065;20,05272
 191,94;  282,860;  248,550;  376,661;26,78156
 192,54;  295,983;  272,409;  385,011;20,93543
 193,14;  307,962;  275,560;  397,986;26,46661
 193,74;  302,811;  282,328;  382,193;20,51046
 194,34;  289,165;  268,176;  385,065;17,95627
 194,94;  260,145;  246,636;  342,210;14,13461
 195,54;  233,999;  219,250;  332,873;12,98020
 196,14;  263,268;  239,407;  348,372;21,89706
 196,74;  257,103;  234,480;  340,255;21,38792
 197,34;  240,866;  201,564;  336,743;29,07458
 197,94;  268,279;  243,483;  374,221;18,96614
 198,54;  272,794;  249,254;  377,640;18,33581
 199,14;  244,440;  221,411;  366,592;15,86237
