
Integration time [ms]: 150,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  221,095;  220,059;  219,839; 0,00000
 176,32;  239,740;  244,133;  235,111; 0,00000
 176,92;  288,316;  296,904;  286,352; 0,00000
 177,52;  274,988;  278,135;  278,215; 0,00000
 178,12;  266,287;  261,210;  251,705; 0,00000
 178,72;  282,041;  289,210;  260,310; 0,00000
 179,32;  269,264;  273,595;  266,225; 0,00000
 179,92;  272,061;  279,519;  265,978; 0,00000
 180,52;  262,254;  255,753;  268,579;50,68489
 181,12;  284,434;  283,134;  271,317; 0,00000
 181,73;  294,573;  296,827;  283,857; 0,00000
 182,33;  410,063;  403,290;  405,616;291,15772
 182,93;  288,237;  305,905;  290,593; 0,00000
 183,53;  247,251;  261,055;  248,819; 0,00000
 184,13;  260,843;  266,133;  248,344; 0,00000
 184,73;  312,410;  312,440;  294,762; 0,00000
 185,33;  273,971;  268,194;  345,473; 7,47509
 185,93;  272,460;  266,500;  362,838; 6,18612
 186,53;  288,704;  277,270;  382,013;10,91557
 187,13;  313,375;  292,657;  415,827;16,82047
 187,73;  289,043;  256,193;  363,692;30,55862
 188,33;  273,124;  266,730;  375,280; 5,89065
 188,93;  293,600;  274,112;  378,002;18,75817
 189,53;  292,824;  274,109;  398,671;15,02475
 190,13;  329,366;  302,567;  434,752;20,27433
 190,73;  260,509;  237,185;  368,824;17,71834
 191,34;  300,338;  278,495;  406,065;17,12227
 191,94;  279,457;  261,883;  376,661;15,31166
 192,54;  294,264;  267,504;  385,011;22,77293
 193,14;  301,141;  292,041;  397,986; 8,58882
 193,74;  293,871;  293,503;  382,193; 0,41553
 194,34;  295,112;  289,119;  385,065; 6,24619
 194,94;  264,312;  249,195;  342,210;16,25233
 195,54;  234,119;  222,040;  332,873;10,89789
 196,14;  264,130;  247,427;  348,372;16,54671
 196,74;  257,148;  246,732;  340,255;11,13693
 197,34;  236,374;  210,890;  336,743;20,24950
 197,94;  270,387;  252,118;  374,221;14,96126
 198,54;  263,038;  265,658;  377,640;-2,33902
 199,14;  248,715;  233,044;  366,592;11,73445
