
Integration time [ms]: 150,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  213,321;  220,059;  219,839; 0,00000
 176,32;  248,242;  244,133;  235,111; 0,00000
 176,92;  286,331;  296,904;  286,352; 0,00000
 177,52;  278,718;  278,135;  278,215; 0,00000
 178,12;  256,643;  261,210;  251,705; 0,00000
 178,72;  283,654;  289,210;  260,310; 0,00000
 179,32;  286,304;  273,595;  266,225; 0,00000
 179,92;  270,787;  279,519;  265,978; 0,00000
 180,52;  258,422;  255,753;  268,579;20,81273
 181,12;  285,481;  283,134;  271,317; 0,00000
 181,73;  304,098;  296,827;  283,857; 0,00000
 182,33;  415,615;  403,290;  405,616;529,81479
 182,93;  291,271;  305,905;  290,593; 0,00000
 183,53;  240,913;  261,055;  248,819; 0,00000
 184,13;  260,453;  266,133;  248,344; 0,00000
 184,73;  305,818;  312,440;  294,762; 0,00000
 185,33;  278,303;  268,194;  345,473;13,08068
 185,93;  289,737;  266,500;  362,838;24,11996
 186,53;  300,974;  277,270;  382,013;22,63051
 187,13;  328,018;  292,657;  415,827;28,70915
 187,73;  287,262;  256,193;  363,692;28,90155
 188,33;  283,193;  266,730;  375,280;15,16642
 188,93;  299,279;  274,112;  378,002;24,22496
 189,53;  295,555;  274,109;  398,671;17,21680
 190,13;  332,035;  302,567;  434,752;22,29332
 190,73;  273,377;  237,185;  368,824;27,49342
 191,34;  311,104;  278,495;  406,065;25,56122
 191,94;  285,447;  261,883;  376,661;20,53052
 192,54;  294,859;  267,504;  385,011;23,27877
 193,14;  307,540;  292,041;  397,986;14,62887
 193,74;  301,245;  293,503;  382,193; 8,72999
 194,34;  304,235;  289,119;  385,065;15,75501
 194,94;  271,017;  249,195;  342,210;23,46000
 195,54;  245,150;  222,040;  332,873;20,85037
 196,14;  268,361;  247,427;  348,372;20,73812
 196,74;  266,993;  246,732;  340,255;21,66351
 197,34;  244,308;  210,890;  336,743;26,55324
 197,94;  272,957;  252,118;  374,221;17,06623
 198,54;  287,730;  265,658;  377,640;19,71079
 199,14;  263,004;  233,044;  366,592;22,43403
