
Integration time [ms]: 150,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  202,150;  192,674;  193,484; 0,00000
 176,32;  223,925;  217,749;  221,613;159,83578
 176,92;  255,737;  238,673;  238,591; 0,00000
 177,52;  258,510;  243,366;  248,001;326,72260
 178,12;  241,302;  229,134;  215,364; 0,00000
 178,72;  255,021;  250,057;  246,874; 0,00000
 179,32;  264,066;  238,288;  239,650;1892,50806
 179,92;  248,849;  237,904;  239,043;960,25843
 180,52;  249,465;  223,213;  250,796;95,17456
 181,12;  262,114;  232,519;  235,695;931,85090
 181,73;  275,524;  262,904;  270,933;157,17796
 182,33;  352,536;  316,366;  327,421;327,19506
 182,93;  265,918;  257,827;  255,301; 0,00000
 183,53;  237,758;  237,595;  228,835; 0,00000
 184,13;  238,289;  228,749;  218,138; 0,00000
 184,73;  276,664;  254,133;  251,462; 0,00000
 185,33;  259,388;  225,970;  315,949;37,13907
 185,93;  271,112;  231,662;  337,037;37,43751
 186,53;  281,958;  239,201;  346,852;39,71839
 187,13;  308,908;  270,740;  376,947;35,93751
 187,73;  270,882;  226,893;  335,898;40,35512
 188,33;  275,213;  233,507;  330,691;42,91416
 188,93;  275,861;  234,967;  363,946;31,70565
 189,53;  284,434;  252,350;  366,168;28,18899
 190,13;  317,899;  275,732;  404,992;32,62174
 190,73;  256,725;  213,119;  348,595;32,18715
 191,34;  289,144;  240,889;  370,908;37,11385
 191,94;  264,655;  238,430;  324,660;30,41318
 192,54;  280,626;  231,510;  353,399;40,29594
 193,14;  283,860;  253,356;  363,717;27,64062
 193,74;  281,573;  235,278;  345,454;42,01861
 194,34;  280,909;  244,971;  344,192;36,22017
 194,94;  246,115;  216,202;  328,402;26,66034
 195,54;  222,136;  180,970;  304,045;33,44784
 196,14;  258,932;  220,048;  327,818;36,08016
 196,74;  246,549;  202,816;  316,800;38,36705
 197,34;  220,893;  197,895;  323,526;18,30580
 197,94;  258,527;  221,048;  331,112;34,05166
 198,54;  266,765;  227,895;  346,393;32,80221
 199,14;  244,967;  207,049;  351,854;26,18498
