
Integration time [ms]: 150,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  211,343;  213,942;  232,391;-14,09050
 176,32;  246,329;  248,562;  239,245; 0,00000
 176,92;  289,870;  283,713;  284,805;563,67431
 177,52;  275,943;  263,481;  288,463;49,88573
 178,12;  257,704;  258,638;  259,823;-78,88306
 178,72;  285,977;  287,793;  280,469; 0,00000
 179,32;  274,085;  285,408;  267,745; 0,00000
 179,92;  282,615;  275,791;  268,795; 0,00000
 180,52;  261,473;  256,325;  272,061;32,71544
 181,12;  280,415;  274,252;  289,721;39,84265
 181,73;  286,973;  302,098;  302,762; 0,00000
 182,33;  407,184;  411,173;  406,971; 0,00000
 182,93;  303,660;  293,097;  294,847;603,65370
 183,53;  251,414;  259,948;  249,810; 0,00000
 184,13;  260,861;  259,332;  248,661; 0,00000
 184,73;  318,174;  314,025;  313,345; 0,00000
 185,33;  276,542;  254,895;  344,858;24,06167
 185,93;  281,461;  268,436;  359,913;14,23771
 186,53;  302,131;  274,666;  381,617;25,68040
 187,13;  326,883;  285,970;  414,333;31,87297
 187,73;  289,840;  262,974;  373,416;24,32569
 188,33;  288,194;  249,284;  379,789;29,81522
 188,93;  303,839;  282,673;  384,519;20,78163
 189,53;  307,083;  265,370;  380,835;36,12661
 190,13;  339,717;  301,453;  437,825;28,05842
 190,73;  271,865;  245,679;  384,820;18,81932
 191,34;  311,836;  279,444;  409,815;24,84563
 191,94;  283,892;  263,439;  370,276;19,14373
 192,54;  299,184;  255,737;  399,966;30,12345
 193,14;  314,070;  288,047;  387,600;26,13944
 193,74;  314,790;  296,202;  379,404;22,34134
 194,34;  296,494;  272,354;  392,221;20,13847
 194,94;  281,864;  250,278;  345,600;33,13574
 195,54;  232,211;  229,741;  336,398; 2,31586
 196,14;  257,814;  246,661;  343,765;11,48561
 196,74;  265,095;  250,434;  354,623;14,07150
 197,34;  236,441;  216,429;  347,856;15,22662
 197,94;  274,885;  241,201;  367,795;26,60782
 198,54;  268,417;  253,200;  382,880;11,73405
 199,14;  252,345;  227,043;  362,749;18,64508
