
Integration time [ms]: 150,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  224,975;  214,685;  227,390;80,99465
 176,32;  253,615;  248,342;  235,906; 0,00000
 176,92;  289,431;  284,289;  287,634;153,75260
 177,52;  278,055;  273,678;  278,476;91,21369
 178,12;  269,556;  250,574;  252,668;906,67522
 178,72;  279,938;  286,257;  271,010; 0,00000
 179,32;  273,446;  277,957;  276,397; 0,00000
 179,92;  278,179;  278,048;  268,906; 0,00000
 180,52;  261,179;  255,472;  272,060;34,40493
 181,12;  291,338;  282,973;  280,948; 0,00000
 181,73;  311,421;  297,130;  301,385;335,83831
 182,33;  422,812;  407,150;  419,020;131,95444
 182,93;  298,146;  292,139;  297,745;107,15887
 183,53;  259,497;  257,098;  256,243; 0,00000
 184,13;  258,891;  256,641;  246,788; 0,00000
 184,73;  322,935;  315,248;  309,275; 0,00000
 185,33;  270,820;  255,659;  371,654;13,07008
 185,93;  273,911;  254,558;  391,714;14,11007
 186,53;  308,705;  276,032;  408,637;24,63929
 187,13;  317,249;  295,136;  421,888;17,44608
 187,73;  296,287;  262,792;  393,729;25,58069
 188,33;  285,660;  257,086;  388,844;21,68686
 188,93;  304,451;  281,041;  402,241;19,31512
 189,53;  287,447;  265,238;  393,836;17,27022
 190,13;  318,925;  305,029;  418,247;12,27410
 190,73;  267,090;  235,759;  377,176;22,15522
 191,34;  292,873;  269,336;  430,126;14,63800
 191,94;  281,431;  248,071;  396,832;22,42550
 192,54;  299,272;  267,387;  422,263;20,58773
 193,14;  304,537;  282,826;  430,874;14,66467
 193,74;  314,005;  280,821;  408,223;26,04617
 194,34;  297,472;  274,063;  432,518;14,77311
 194,94;  270,397;  238,595;  390,297;20,96390
 195,54;  248,745;  221,968;  350,598;20,81717
 196,14;  266,221;  243,607;  391,911;15,24851
 196,74;  265,888;  251,808;  379,186;11,05316
 197,34;  236,037;  215,854;  366,319;13,41388
 197,94;  274,882;  254,214;  402,177;13,96811
 198,54;  292,821;  267,068;  437,786;15,08487
 199,14;  267,824;  232,633;  401,246;20,87120
