
Integration time [ms]: 150,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  229,619;  214,685;  227,390;117,54589
 176,32;  241,798;  248,342;  235,906; 0,00000
 176,92;  283,750;  284,289;  287,634;-16,12835
 177,52;  282,246;  273,678;  278,476;178,56075
 178,12;  259,675;  250,574;  252,668;434,68885
 178,72;  283,981;  286,257;  271,010; 0,00000
 179,32;  274,404;  277,957;  276,397; 0,00000
 179,92;  260,256;  278,048;  268,906; 0,00000
 180,52;  262,477;  255,472;  272,060;42,22716
 181,12;  282,913;  282,973;  280,948; 0,00000
 181,73;  302,234;  297,130;  301,385;119,94496
 182,33;  427,748;  407,150;  419,020;173,53392
 182,93;  295,899;  292,139;  297,745;67,06793
 183,53;  260,638;  257,098;  256,243; 0,00000
 184,13;  255,490;  256,641;  246,788; 0,00000
 184,73;  323,902;  315,248;  309,275; 0,00000
 185,33;  283,718;  255,659;  371,654;24,18979
 185,93;  290,554;  254,558;  391,714;26,24481
 186,53;  308,781;  276,032;  408,637;24,69668
 187,13;  326,025;  295,136;  421,888;24,36947
 187,73;  288,222;  262,792;  393,729;19,42144
 188,33;  287,878;  257,086;  388,844;23,37064
 188,93;  310,903;  281,041;  402,241;24,63806
 189,53;  299,391;  265,238;  393,836;26,55791
 190,13;  347,316;  305,029;  418,247;37,35000
 190,73;  275,274;  235,759;  377,176;27,94218
 191,34;  309,791;  269,336;  430,126;25,16013
 191,94;  295,063;  248,071;  396,832;31,58881
 192,54;  297,548;  267,387;  422,263;19,47473
 193,14;  307,358;  282,826;  430,874;16,57054
 193,74;  321,362;  280,821;  408,223;31,82141
 194,34;  307,769;  274,063;  432,518;21,27206
 194,94;  274,166;  238,595;  390,297;23,44780
 195,54;  250,970;  221,968;  350,598;22,54641
 196,14;  268,238;  243,607;  391,911;16,60835
 196,74;  271,020;  251,808;  379,186;15,08263
 197,34;  253,719;  215,854;  366,319;25,16511
 197,94;  271,083;  254,214;  402,177;11,40119
 198,54;  295,305;  267,068;  437,786;16,53996
 199,14;  269,759;  232,633;  401,246;22,01843
