
Integration time [ms]: 150,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  226,777;  214,685;  227,390;95,18148
 176,32;  242,481;  248,342;  235,906; 0,00000
 176,92;  289,046;  284,289;  287,634;142,23894
 177,52;  264,839;  273,678;  278,476;-184,22598
 178,12;  265,148;  250,574;  252,668;696,08969
 178,72;  277,072;  286,257;  271,010; 0,00000
 179,32;  274,854;  277,957;  276,397; 0,00000
 179,92;  275,072;  278,048;  268,906; 0,00000
 180,52;  262,002;  255,472;  272,060;39,36153
 181,12;  275,152;  282,973;  280,948; 0,00000
 181,73;  304,444;  297,130;  301,385;171,87838
 182,33;  410,962;  407,150;  419,020;32,11649
 182,93;  297,716;  292,139;  297,745;99,48091
 183,53;  259,339;  257,098;  256,243; 0,00000
 184,13;  256,190;  256,641;  246,788; 0,00000
 184,73;  317,765;  315,248;  309,275; 0,00000
 185,33;  284,207;  255,659;  371,654;24,61122
 185,93;  280,187;  254,558;  391,714;18,68627
 186,53;  297,779;  276,032;  408,637;16,39938
 187,13;  317,370;  295,136;  421,888;17,54148
 187,73;  286,833;  262,792;  393,729;18,36104
 188,33;  287,503;  257,086;  388,844;23,08534
 188,93;  297,899;  281,041;  402,241;13,90912
 189,53;  293,927;  265,238;  393,836;22,30868
 190,13;  331,900;  305,029;  418,247;23,73360
 190,73;  276,761;  235,759;  377,176;28,99357
 191,34;  306,816;  269,336;  430,126;23,30952
 191,94;  282,759;  248,071;  396,832;23,31804
 192,54;  294,746;  267,387;  422,263;17,66542
 193,14;  311,202;  282,826;  430,874;19,16677
 193,74;  311,593;  280,821;  408,223;24,15322
 194,34;  307,170;  274,063;  432,518;20,89399
 194,94;  270,771;  238,595;  390,297;21,21002
 195,54;  239,862;  221,968;  350,598;13,91125
 196,14;  267,269;  243,607;  391,911;15,95515
 196,74;  274,125;  251,808;  379,186;17,51993
 197,34;  243,549;  215,854;  366,319;18,40611
 197,94;  265,056;  254,214;  402,177; 7,32740
 198,54;  286,027;  267,068;  437,786;11,10505
 199,14;  263,732;  232,633;  401,246;18,44437
