
Integration time [ms]: 150,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  231,461;  214,685;  227,390;132,04403
 176,32;  242,871;  248,342;  235,906; 0,00000
 176,92;  285,059;  284,289;  287,634;23,00553
 177,52;  279,671;  273,678;  278,476;124,89271
 178,12;  257,217;  250,574;  252,668;317,27633
 178,72;  288,913;  286,257;  271,010; 0,00000
 179,32;  277,699;  277,957;  276,397; 0,00000
 179,92;  278,255;  278,048;  268,906; 0,00000
 180,52;  265,331;  255,472;  272,060;59,43171
 181,12;  270,605;  282,973;  280,948; 0,00000
 181,73;  299,734;  297,130;  301,385;61,18665
 182,33;  419,583;  407,150;  419,020;104,74577
 182,93;  295,678;  292,139;  297,745;63,12142
 183,53;  260,469;  257,098;  256,243; 0,00000
 184,13;  255,707;  256,641;  246,788; 0,00000
 184,73;  305,224;  315,248;  309,275; 0,00000
 185,33;  279,440;  255,659;  371,654;20,50102
 185,93;  287,608;  254,558;  391,714;24,09684
 186,53;  308,223;  276,032;  408,637;24,27559
 187,13;  334,027;  295,136;  421,888;30,68234
 187,73;  287,346;  262,792;  393,729;18,75239
 188,33;  296,815;  257,086;  388,844;30,15289
 188,93;  299,998;  281,041;  402,241;15,64061
 189,53;  284,240;  265,238;  393,836;14,77609
 190,13;  327,021;  305,029;  418,247;19,42460
 190,73;  265,303;  235,759;  377,176;20,89165
 191,34;  313,299;  269,336;  430,126;27,34156
 191,94;  290,434;  248,071;  396,832;28,47723
 192,54;  299,124;  267,387;  422,263;20,49198
 193,14;  323,044;  282,826;  430,874;27,16550
 193,74;  319,209;  280,821;  408,223;30,13081
 194,34;  311,995;  274,063;  432,518;23,93877
 194,94;  273,590;  238,595;  390,297;23,06813
 195,54;  248,768;  221,968;  350,598;20,83485
 196,14;  276,911;  243,607;  391,911;22,45651
 196,74;  265,971;  251,808;  379,186;11,11871
 197,34;  256,134;  215,854;  366,319;26,77034
 197,94;  278,670;  254,214;  402,177;16,52843
 198,54;  287,509;  267,068;  437,786;11,97322
 199,14;  272,753;  232,633;  401,246;23,79429
