
Integration time [ms]: 150,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  204,397;  190,132;  200,215;141,46874
 176,32;  232,809;  212,537;  209,398; 0,00000
 176,92;  261,689;  240,523;  246,931;330,31219
 177,52;  264,783;  243,597;  254,355;196,94253
 178,12;  237,579;  229,152;  207,303; 0,00000
 178,72;  263,096;  252,849;  232,799; 0,00000
 179,32;  263,417;  249,076;  237,582; 0,00000
 179,92;  249,435;  243,991;  238,830; 0,00000
 180,52;  243,621;  222,275;  238,585;130,87994
 181,12;  255,039;  236,989;  245,544;210,97587
 181,73;  278,831;  259,218;  261,188;995,82836
 182,33;  355,141;  305,438;  322,048;299,23332
 182,93;  262,832;  251,829;  260,704;123,97097
 183,53;  239,022;  236,468;  216,997; 0,00000
 184,13;  244,229;  228,696;  220,426; 0,00000
 184,73;  272,920;  247,009;  263,987;152,61542
 185,33;  262,070;  224,819;  337,237;33,13659
 185,93;  263,687;  231,218;  359,575;25,29558
 186,53;  272,236;  237,595;  371,083;25,95058
 187,13;  300,964;  258,195;  387,732;33,01681
 187,73;  263,585;  232,293;  353,715;25,77095
 188,33;  257,776;  239,916;  359,018;14,99549
 188,93;  276,090;  237,096;  368,697;29,63041
 189,53;  269,482;  240,347;  374,027;21,79476
 190,13;  314,703;  274,917;  385,268;36,05400
 190,73;  254,600;  201,818;  356,279;34,17200
 191,34;  277,877;  254,488;  376,301;19,20045
 191,94;  276,981;  222,464;  351,126;42,37259
 192,54;  269,281;  242,799;  376,716;19,77480
 193,14;  287,277;  249,273;  382,739;28,47413
 193,74;  283,077;  238,353;  370,742;33,78234
 194,34;  273,785;  224,347;  384,949;30,78298
 194,94;  245,171;  207,658;  347,012;26,91937
 195,54;  233,680;  208,665;  323,556;21,77304
 196,14;  249,279;  221,266;  358,142;20,46590
 196,74;  240,864;  217,360;  326,346;21,56565
 197,34;  223,167;  188,411;  346,648;21,96438
 197,94;  255,237;  216,810;  380,939;23,41293
 198,54;  267,580;  223,882;  380,248;27,94585
 199,14;  236,929;  208,790;  385,271;15,94457
