
Integration time [ms]: 150,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  229,809;  214,685;  227,390;119,04173
 176,32;  251,833;  248,342;  235,906; 0,00000
 176,92;  294,751;  284,289;  287,634;312,82052
 177,52;  272,353;  273,678;  278,476;-27,61476
 178,12;  274,157;  250,574;  252,668;1126,42132
 178,72;  284,260;  286,257;  271,010; 0,00000
 179,32;  275,056;  277,957;  276,397; 0,00000
 179,92;  283,453;  278,048;  268,906; 0,00000
 180,52;  265,390;  255,472;  272,060;59,78669
 181,12;  279,160;  282,973;  280,948; 0,00000
 181,73;  293,525;  297,130;  301,385;-84,72525
 182,33;  424,592;  407,150;  419,020;146,94405
 182,93;  298,474;  292,139;  297,745;113,00042
 183,53;  271,513;  257,098;  256,243; 0,00000
 184,13;  262,235;  256,641;  246,788; 0,00000
 184,73;  325,055;  315,248;  309,275; 0,00000
 185,33;  267,488;  255,659;  371,654;10,19771
 185,93;  275,136;  254,558;  391,714;15,00348
 186,53;  302,756;  276,032;  408,637;20,15253
 187,13;  318,397;  295,136;  421,888;18,35135
 187,73;  290,227;  262,792;  393,729;20,95256
 188,33;  265,958;  257,086;  388,844; 6,73344
 188,93;  298,932;  281,041;  402,241;14,76102
 189,53;  279,255;  265,238;  393,836;10,89943
 190,13;  324,632;  305,029;  418,247;17,31436
 190,73;  261,562;  235,759;  377,176;18,24605
 191,34;  298,576;  269,336;  430,126;18,18526
 191,94;  267,382;  248,071;  396,832;12,98131
 192,54;  289,472;  267,387;  422,263;14,25993
 193,14;  301,989;  282,826;  430,874;12,94374
 193,74;  304,352;  280,821;  408,223;18,47001
 194,34;  302,949;  274,063;  432,518;18,22994
 194,94;  251,032;  238,595;  390,297; 8,19861
 195,54;  247,726;  221,968;  350,598;20,02495
 196,14;  263,585;  243,607;  391,911;13,47066
 196,74;  245,920;  251,808;  379,186;-4,62268
 197,34;  230,885;  215,854;  366,319; 9,98962
 197,94;  268,294;  254,214;  402,177; 9,51568
 198,54;  289,268;  267,068;  437,786;13,00394
 199,14;  250,364;  232,633;  401,246;10,51586
