
Integration time [ms]: 150,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  226,732;  214,685;  227,390;94,82059
 176,32;  242,996;  248,342;  235,906; 0,00000
 176,92;  289,321;  284,289;  287,634;150,46020
 177,52;  267,941;  273,678;  278,476;-119,57078
 178,12;  253,171;  250,574;  252,668;124,03601
 178,72;  277,388;  286,257;  271,010; 0,00000
 179,32;  278,372;  277,957;  276,397; 0,00000
 179,92;  280,056;  278,048;  268,906; 0,00000
 180,52;  244,004;  255,472;  272,060;-69,14029
 181,12;  280,388;  282,973;  280,948; 0,00000
 181,73;  294,534;  297,130;  301,385;-61,00236
 182,33;  421,760;  407,150;  419,020;123,08575
 182,93;  294,367;  292,139;  297,745;39,74442
 183,53;  251,543;  257,098;  256,243; 0,00000
 184,13;  253,823;  256,641;  246,788; 0,00000
 184,73;  311,452;  315,248;  309,275; 0,00000
 185,33;  270,580;  255,659;  371,654;12,86307
 185,93;  282,201;  254,558;  391,714;20,15475
 186,53;  289,876;  276,032;  408,637;10,43983
 187,13;  317,321;  295,136;  421,888;17,50250
 187,73;  280,076;  262,792;  393,729;13,20005
 188,33;  272,750;  257,086;  388,844;11,88830
 188,93;  295,154;  281,041;  402,241;11,64452
 189,53;  298,413;  265,238;  393,836;25,79766
 190,13;  331,100;  305,029;  418,247;23,02741
 190,73;  270,801;  235,759;  377,176;24,77955
 191,34;  309,131;  269,336;  430,126;24,74927
 191,94;  285,266;  248,071;  396,832;25,00335
 192,54;  298,401;  267,387;  422,263;20,02544
 193,14;  310,364;  282,826;  430,874;18,60073
 193,74;  304,862;  280,821;  408,223;18,86983
 194,34;  301,657;  274,063;  432,518;17,41447
 194,94;  263,790;  238,595;  390,297;16,60831
 195,54;  243,285;  221,968;  350,598;16,57181
 196,14;  267,855;  243,607;  391,911;16,35013
 196,74;  267,376;  251,808;  379,186;12,22196
 197,34;  232,147;  215,854;  366,319;10,82811
 197,94;  267,990;  254,214;  402,177; 9,31043
 198,54;  281,923;  267,068;  437,786; 8,70120
 199,14;  262,740;  232,633;  401,246;17,85583
