
Integration time [ms]: 150,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  213,830;  190,132;  200,215;235,01997
 176,32;  245,300;  212,537;  209,398; 0,00000
 176,92;  284,109;  240,523;  246,931;680,20930
 177,52;  271,190;  243,597;  254,355;256,49781
 178,12;  247,984;  229,152;  207,303; 0,00000
 178,72;  283,012;  252,849;  232,799; 0,00000
 179,32;  264,902;  249,076;  237,582; 0,00000
 179,92;  263,453;  243,991;  238,830; 0,00000
 180,52;  254,450;  222,275;  238,585;197,27616
 181,12;  266,872;  236,989;  245,544;349,29990
 181,73;  284,358;  259,218;  261,188;1276,45182
 182,33;  396,753;  305,438;  322,048;549,75775
 182,93;  288,060;  251,829;  260,704;408,21139
 183,53;  257,364;  236,468;  216,997; 0,00000
 184,13;  241,742;  228,696;  220,426; 0,00000
 184,73;  296,732;  247,009;  263,987;292,86368
 185,33;  266,089;  224,819;  337,237;36,71151
 185,93;  269,662;  231,218;  359,575;29,95047
 186,53;  297,584;  237,595;  371,083;44,93949
 187,13;  303,762;  258,195;  387,732;35,17722
 187,73;  269,047;  232,293;  353,715;30,26932
 188,33;  268,840;  239,916;  359,018;24,28529
 188,93;  299,569;  237,096;  368,697;47,47177
 189,53;  292,453;  240,347;  374,027;38,97843
 190,13;  326,769;  274,917;  385,268;46,98853
 190,73;  266,514;  201,818;  356,279;41,88526
 191,34;  297,700;  254,488;  376,301;35,47414
 191,94;  273,515;  222,464;  351,126;39,67862
 192,54;  284,940;  242,799;  376,716;31,46823
 193,14;  299,022;  249,273;  382,739;37,27451
 193,74;  303,504;  238,353;  370,742;49,21211
 194,34;  284,686;  224,347;  384,949;37,57059
 194,94;  249,738;  207,658;  347,012;30,19659
 195,54;  234,607;  208,665;  323,556;22,57978
 196,14;  264,170;  221,266;  358,142;31,34473
 196,74;  249,943;  217,360;  326,346;29,89614
 197,34;  227,976;  188,411;  346,648;25,00343
 197,94;  258,304;  216,810;  380,939;25,28124
 198,54;  274,464;  223,882;  380,248;32,34847
 199,14;  244,356;  208,790;  385,271;20,15289
