
Integration time [ms]: 150,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  219,348;  214,685;  227,390;36,70604
 176,32;  248,790;  248,342;  235,906; 0,00000
 176,92;  288,187;  284,289;  287,634;116,55325
 177,52;  281,520;  273,678;  278,476;163,44239
 178,12;  247,327;  250,574;  252,668;-155,08928
 178,72;  293,690;  286,257;  271,010; 0,00000
 179,32;  279,391;  277,957;  276,397; 0,00000
 179,92;  273,704;  278,048;  268,906; 0,00000
 180,52;  259,526;  255,472;  272,060;24,43509
 181,12;  268,752;  282,973;  280,948; 0,00000
 181,73;  294,254;  297,130;  301,385;-67,60428
 182,33;  419,521;  407,150;  419,020;104,22311
 182,93;  286,003;  292,139;  297,745;-109,47280
 183,53;  256,246;  257,098;  256,243; 0,00000
 184,13;  248,802;  256,641;  246,788; 0,00000
 184,73;  309,591;  315,248;  309,275; 0,00000
 185,33;  264,348;  255,659;  371,654; 7,49058
 185,93;  275,175;  254,558;  391,714;15,03195
 186,53;  304,090;  276,032;  408,637;21,15850
 187,13;  315,332;  295,136;  421,888;15,93302
 187,73;  292,501;  262,792;  393,729;22,68992
 188,33;  290,531;  257,086;  388,844;25,38386
 188,93;  309,720;  281,041;  402,241;23,66221
 189,53;  290,119;  265,238;  393,836;19,34764
 190,13;  336,916;  305,029;  418,247;28,16407
 190,73;  268,396;  235,759;  377,176;23,07832
 191,34;  305,399;  269,336;  430,126;22,42863
 191,94;  284,359;  248,071;  396,832;24,39326
 192,54;  299,613;  267,387;  422,263;20,80765
 193,14;  312,424;  282,826;  430,874;19,99216
 193,74;  314,882;  280,821;  408,223;26,73448
 194,34;  310,120;  274,063;  432,518;22,75521
 194,94;  270,984;  238,595;  390,297;21,35045
 195,54;  243,333;  221,968;  350,598;16,60969
 196,14;  277,710;  243,607;  391,911;22,99556
 196,74;  259,253;  251,808;  379,186; 5,84469
 197,34;  242,602;  215,854;  366,319;17,77679
 197,94;  273,569;  254,214;  402,177;13,08094
 198,54;  291,850;  267,068;  437,786;14,51629
 199,14;  265,876;  232,633;  401,246;19,71587
