
Integration time [ms]: 150,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  200,017;  190,132;  200,215;98,03439
 176,32;  224,545;  212,537;  209,398; 0,00000
 176,92;  252,433;  240,523;  246,931;185,86849
 177,52;  258,921;  243,597;  254,355;142,45027
 178,12;  224,136;  229,152;  207,303; 0,00000
 178,72;  255,669;  252,849;  232,799; 0,00000
 179,32;  241,918;  249,076;  237,582; 0,00000
 179,92;  246,068;  243,991;  238,830; 0,00000
 180,52;  243,484;  222,275;  238,585;130,03504
 181,12;  247,841;  236,989;  245,544;126,84904
 181,73;  270,443;  259,218;  261,188;569,91383
 182,33;  333,358;  305,438;  322,048;168,09065
 182,93;  268,720;  251,829;  260,704;190,31873
 183,53;  234,164;  236,468;  216,997; 0,00000
 184,13;  236,865;  228,696;  220,426; 0,00000
 184,73;  261,356;  247,009;  263,987;84,50405
 185,33;  257,672;  224,819;  337,237;29,22392
 185,93;  260,482;  231,218;  359,575;22,79926
 186,53;  274,698;  237,595;  371,083;27,79496
 187,13;  304,460;  258,195;  387,732;35,71567
 187,73;  261,362;  232,293;  353,715;23,94018
 188,33;  258,868;  239,916;  359,018;15,91254
 188,93;  272,699;  237,096;  368,697;27,05362
 189,53;  272,551;  240,347;  374,027;24,09078
 190,13;  301,798;  274,917;  385,268;24,35910
 190,73;  252,759;  201,818;  356,279;32,97981
 191,34;  282,607;  254,488;  376,301;23,08396
 191,94;  257,039;  222,464;  351,126;26,87290
 192,54;  285,464;  242,799;  376,716;31,85910
 193,14;  285,982;  249,273;  382,739;27,50453
 193,74;  279,370;  238,353;  370,742;30,98263
 194,34;  278,801;  224,347;  384,949;33,90605
 194,94;  230,859;  207,658;  347,012;16,64858
 195,54;  224,636;  208,665;  323,556;13,90101
 196,14;  230,211;  221,266;  358,142; 6,53468
 196,74;  239,433;  217,360;  326,346;20,25263
 197,34;  213,886;  188,411;  346,648;16,09908
 197,94;  248,300;  216,810;  380,939;19,18603
 198,54;  250,968;  223,882;  380,248;17,32239
 199,14;  239,382;  208,790;  385,271;17,33444
